cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.1,3,768,4,50,relu,halve,0.0,150,0.0005357653599539103,1.102451205253601,0.06431936679145946,2,0.7654320987654321,5,5,128,xavier_uniform,0.15651160183046336,4.053334598071746e-05,1.9576692737753016,leaf,0.21128003936575723,layernorm,none
0.03,13,768,1,56,leaky_relu,halve,0.4,80,3.495349748480737e-05,1.351306676864624,0.0898865059954476,2,0.9053497942386831,3,null,32,xavier_normal,0.19577720599589152,1.1732408113230577e-08,1.4105309549472276,leaf,0.4098181481930547,batchnorm,none
0.005,19,768,4,40,gelu,halve,0.2,150,0.0001320821091761931,0.6791831254959106,0.26674307357944904,3,0.9423868312757202,4,5,128,xavier_uniform,0.45781111062475943,1.86681264447895e-05,1.987916631112748,leaf,0.23509455638559884,layernorm,none
0.03,22,768,2,40,gelu,halve,0.5,150,7.852543385898784e-05,1.3171590566635132,0.12127354518908713,2,0.6666666666666666,6,null,32,xavier_uniform,0.16412455046332416,4.39355194873542e-06,1.9893305588994359,leaf,0.32381332483027875,batchnorm,none
0.05,24,768,2,62,gelu,halve,0.5,150,8.354173323393161e-05,1.4520082473754883,0.03268269119073414,3,0.7736625514403292,6,null,32,xavier_uniform,0.17198204681601825,5.912021967788206e-06,1.9965699318123729,leaf,0.32036854582389085,batchnorm,none
0.01,25,768,2,63,gelu,halve,0.5,150,0.00010027748220650571,0.858432412147522,0.17022642262595028,2,0.9094650205761317,6,null,32,xavier_normal,0.18725426938801415,5.61965117927942e-06,1.934132701303454,leaf,0.6504812193170344,batchnorm,none
0.01,26,768,2,63,gelu,halve,0.5,150,6.496597068266699e-05,0.957840621471405,0.08523498287305703,3,0.8888888888888888,6,null,32,xavier_uniform,0.16289728727523664,7.1274695348143305e-06,1.982280710952746,leaf,0.6429667630350542,batchnorm,none
0.03,32,768,2,46,relu,halve,0.5,80,0.00026748362418696546,0.973255455493927,0.01555287655346882,4,0.654320987654321,7,null,32,xavier_normal,0.012632460201409734,0.00010009578035862094,1.7662715382541663,leaf,0.37852985937203504,batchnorm,none
0.05,33,768,3,58,relu,halve,0.4,80,0.00023195369489692797,1.090530514717102,0.020586224985488122,3,0.4567901234567901,8,null,32,xavier_normal,0.01507779590945807,8.850975635643374e-05,1.774947445022377,leaf,0.3772996400006628,batchnorm,none
0.05,34,768,3,58,relu,halve,0.0,80,0.00026278366618098065,0.8170396089553833,0.012339084493054066,3,0.43209876543209874,8,null,32,xavier_normal,0.09957558201833641,6.007838863009953e-05,1.7487121852417737,leaf,0.36106691852887723,batchnorm,none
0.03,31,768,2,58,gelu,halve,0.5,150,0.00024877885554965094,1.064265489578247,0.009732643493867358,2,0.8724279835390947,6,null,32,xavier_normal,0.18403801612661136,3.055108960612063e-06,1.7511010732256749,leaf,0.3570319046177864,batchnorm,none
0.05,37,512,3,47,relu,constant,0.0,80,0.00026205582020100957,0.7567223906517029,0.01595209072014584,2,0.5802469135802469,8,null,32,xavier_normal,0.031218664467892163,6.778431160833905e-05,1.7976669868299806,leaf,0.28377036443875747,batchnorm,none
0.05,38,768,3,58,relu,halve,0.5,80,0.0003065706146356716,1.150050163269043,0.03148465640736748,3,0.2674897119341564,8,null,32,xavier_uniform,0.02058758167205202,6.136205027943104e-05,1.8342504800085409,leaf,0.36871315874900723,batchnorm,none
