,Acetanaerobacterium,Acetivibrio,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Allisonella,Allobaculum,Anaerococcus,Anaerofilum,Anaeroplasma,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Atopobium,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Bulleidia,Butyricicoccus,Butyricimonas,Butyrivibrio,Caldimonas,Caloramator,Campylobacter,Catenibacterium,Citrobacter,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Coraliomargarita,Corynebacterium,Cronobacter,Denitrobacterium,Desulfotomaculum,Desulfovibrio,Dialister,Dietzia,Dorea,Eggerthella,Elusimicrobium,Enterobacter,Enterococcus,Enterorhabdus,Erysipelothrix,EscherichiaShigella,Ethanoligenens,Eubacterium,Faecalibacterium,Finegoldia,Flavonifractor,Fusobacterium,Gemella,Gemmiger,Gordonibacter,Gracilibacter,Granulicatella,Haemophilus,Hespellia,Holdemania,Howardella,Hydrogenoanaerobacterium,Klebsiella,Lachnobacterium,Lactobacillus,Lactococcus,Lactonifactor,Lutispora,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methanosphaera,Mitsuokella,Mobiluncus,Mogibacterium,Moryella,Murdochiella,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oxalobacter,Papillibacter,Parabacteroides,Paraprevotella,Parasporobacterium,Parasutterella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Robinsoniella,Roseburia,Rothia,Ruminococcus,Saccharofermentans,Selenomonas,Slackia,Sneathia,Solobacterium,Spiroplasma,Sporobacter,Staphylococcus,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,TM7_genera_incertae_sedis,Tepidimicrobium,Treponema,Turicibacter,Unassigned,Vampirovibrio,Veillonella,Victivallis,Weissella
ERR688979,0,0,8,0,0,0,4,49,1,0,0,1,0,0,0,0,2,0,102,12,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,9,29,5,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,85,0,5,0,2,0,0,0,1,377,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,0,0,15,0,0,5,0,0,0,0,60,2,9,0,6,0,0,112,3,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,29,0,0,1,0
ERR688981,0,0,16,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,192,0,0,0,54,0,5,0,0,0,0,0,0,0,0,3,0,16,13,0,2,1,0,22,0,0,0,0,0,0,51,0,38,0,0,0,0,0,0,14,0,16,148,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,105,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,74,0,13,0,0
ERR688982,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,331,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,9,55,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,214,0,2,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,31,0,0,13,0,0,0,0,39,0,29,0,3,0,0,90,0,10,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,78,0,0,0,0
ERR688984,0,0,0,0,0,0,0,18,0,0,0,12,0,0,0,0,0,0,652,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,10,141,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0
ERR688985,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,1,7,2,0,0,7,5,0,0,0,0,0,24,1,4,0,0,10,0,0,0,0,0,5,10,0,10,0,0,0,0,0,0,0,0,1,100,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,4,0,536,1,0,0,0,79,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,126,0,0,0,0
ERR688986,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,30,0,0,0,21,0,1,2,2,0,0,0,2,0,0,0,1,6,21,5,0,1,0,7,0,0,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,8,79,0,5,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,1,0,1,0,0,0,0,16,0,429,2,0,0,0,78,0,1,0,0,0,0,0,0,0,0,5,0,2,7,0,0,0,2,202,0,0,0,0
ERR688987,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,33,0,0,0,13,0,1,26,0,0,0,0,1,0,1,1,0,0,25,0,1,0,0,23,0,0,0,0,0,2,9,0,15,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,48,0,0,0,0,0,5,0,0,0,0,0,0,498,1,1,0,0,25,0,6,0,0,0,0,2,0,0,0,8,0,11,3,0,0,0,0,122,0,1,0,0
ERR688988,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,25,0,0,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,19,0,3,0,0,6,0,0,0,0,0,1,14,0,8,0,0,0,0,0,0,0,0,0,45,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,242,0,1,1,0,0,0,0,0,0,0,0,0,116,28,1,0,0,16,0,34,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,390,0,0,1,0
ERR688989,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,262,0,0,1,7,0,0,7,9,0,0,0,5,0,0,1,1,0,8,0,0,1,0,2,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,3,0,3,89,0,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,69,2,1,9,65,0,1,1,0,0,0,0,3,74,6,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0
ERR688990,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,19,0,749,0,1,0,0,52,0,9,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,52,0,0,0,0
ERR688991,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,17,0,0,0,3,0,1,14,2,0,0,0,5,0,0,0,2,0,13,0,0,1,0,9,0,0,0,0,0,0,14,0,3,1,0,0,0,0,0,0,0,0,170,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,73,0,2,0,2,0,0,0,0,0,0,0,0,397,0,1,0,0,65,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0
ERR688992,0,0,87,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,16,0,6,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,16,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,88,0,649,0,0,0,0,19,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0
ERR688993,0,0,21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,3,0,0,0,0,0,1,140,0,2,0,0,0,0,0,0,0,0,0,23,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,50,0,0,2,1,0,0,0,0,0,0,0,0,422,0,1,0,0,33,0,1,0,0,0,2,0,0,0,0,3,0,65,0,0,0,0,0,135,0,0,0,0
ERR688994,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,13,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,52,0,841,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
ERR688995,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,176,0,0,1,25,0,3,0,0,0,0,0,1,0,0,0,0,3,15,1,0,0,0,2,0,0,0,0,0,5,11,0,15,0,0,0,0,0,0,0,0,0,72,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,3,19,0,1,0,0,0,0,18,0,338,0,3,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,2,0
ERR688999,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,131,2,0,0,22,0,3,0,1,0,0,0,2,0,1,1,1,0,122,3,10,0,0,47,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,3,107,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,15,0,7,0,0,0,0,18,0,194,0,1,0,0,51,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,191,0,1,0,0
ERR689000,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,16,0,0,0,3,0,1,0,0,0,0,0,9,0,0,0,1,0,31,2,0,1,0,115,1,0,0,0,0,2,5,0,18,1,34,0,0,0,0,0,0,3,172,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,23,0,0,0,0,0,1,0,34,0,0,1,3,0,2,0,0,0,0,0,0,216,0,0,0,0,56,0,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,152,0,0,2,0
ERR689001,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,4,0,1,0,1,0,0,12,0,0,0,0,0,0,60,0,7,0,0,0,0,0,0,0,0,8,88,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,1,0,368,3,0,0,0,142,0,4,0,24,0,0,0,0,0,0,5,0,0,0,0,0,0,1,60,0,1,0,0
ERR689004,0,0,51,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,527,1,0,0,3,0,1,3,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,41,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,64,0,0,14,0,0,0,0,0,0,0,5,0,0,5,32,0,0,0,0,0,0,7,0,1,0,0,0,0,51,0,7,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,64,0,0,0,0
ERR689005,0,0,63,0,0,0,0,0,1,16,0,0,0,0,0,1,1,0,12,0,0,0,16,0,0,1,2,0,0,0,2,0,0,0,1,0,10,0,1,5,0,25,0,0,0,0,0,0,94,0,2,1,0,0,0,0,0,0,0,2,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,76,0,0,0,0,0,7,0,36,0,0,1,1,0,0,0,0,0,0,11,0,329,0,0,0,0,28,0,5,0,0,0,0,2,0,0,0,2,0,0,3,0,0,1,0,163,0,0,0,0
ERR689006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0,15,0,0,0,2,1,21,0,2,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,131,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,1,0,0,0,0,13,0,641,0,0,0,0,94,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,0,0
ERR689007,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,4,0,0,0,0,0,6,0,2,1,0,18,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,1,34,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,1,0,19,0,0,1,1,0,1,0,0,0,0,3,0,557,1,0,0,0,30,0,7,0,0,0,0,4,0,0,0,1,0,102,0,0,0,0,0,143,0,0,0,0
ERR689009,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,27,0,0,0,4,0,4,0,5,0,0,0,2,0,0,6,0,0,9,0,0,1,0,45,0,0,0,0,0,0,7,0,5,1,0,0,0,0,0,1,0,0,15,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,0,14,0,0,1,4,0,1,2,0,0,0,0,0,438,1,0,0,0,50,0,7,0,0,0,1,0,0,0,0,0,0,181,1,0,0,0,0,104,0,0,0,0
FF.0179.537,10,0,0,0,31,0,0,6,0,10,16,0,0,2,7,0,3,0,29,5,135,0,95,0,3,0,1,2,0,2,31,0,5,2,41,5,39,1,44,37,0,47,0,15,0,1,0,0,4,0,38,0,0,0,0,6,0,0,0,27,96,41,15,11,0,10,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53,26,1,13,15,3,1,0,20,0,0,3,0,0,0,7,11,30,3,52,16,369,2,0,0,0,99,0,99,46,0,2,3,0,0,1,0,3,0,0,0,0,0,0,43,174,5,0,0,0
FF.0180.537,1,0,7,0,6,0,0,30,0,0,27,2,0,0,16,0,0,0,102,0,9,0,73,0,0,0,0,0,0,0,0,0,4,5,137,2,95,0,3,70,0,18,0,38,0,6,0,0,8,0,64,0,0,0,0,6,0,8,0,9,29,54,37,0,0,53,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,5,0,32,10,0,0,0,64,0,0,7,0,0,2,0,3,34,9,32,6,175,0,1,0,0,34,0,139,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,19,488,0,0,0,0
FF.0189.500,4,0,176,0,1,0,0,35,1,5,15,0,0,0,7,2,0,0,142,12,23,5,65,0,6,12,0,0,0,1,20,0,6,2,24,0,45,3,2,99,0,8,0,89,0,9,0,0,2,0,27,0,0,0,1,9,0,2,0,29,265,19,5,0,0,30,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,3,0,0,7,0,1,11,0,0,0,0,0,7,5,73,2,195,1,2,0,0,75,0,40,0,0,2,0,0,0,1,0,17,0,0,52,0,0,0,2,266,2,0,0,0
FF.0190.500,22,0,4,0,0,0,0,0,2,1,7,0,0,0,0,1,0,3,0,19,98,0,10,0,1,7,0,5,0,0,36,0,39,0,13,0,21,10,2,22,0,22,0,6,0,0,0,1,90,0,16,0,0,0,0,2,0,0,4,51,65,59,55,0,0,4,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,79,0,0,45,0,0,0,0,0,0,1,48,0,25,0,0,0,0,0,1,10,0,0,0,467,0,0,0,0,11,0,48,0,0,6,0,0,0,7,0,0,0,49,0,0,0,0,0,400,0,0,0,0
FF.0191.500,0,0,0,0,1,0,0,2,0,1,9,0,0,0,2,0,0,38,216,0,509,0,197,0,4,0,0,0,0,3,0,0,0,0,1,2,21,6,3,0,0,4,0,7,0,0,0,0,56,0,18,0,0,0,8,0,0,4,0,0,0,136,1,11,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,26,0,0,10,13,0,3,285,0,1,0,0,1,0,0,0,13,0,0,0,0,0,1,138,0,0,0,0,0,0,2,114,0,88,0,0
FF.0195.500,0,0,0,0,0,0,0,0,1,2,101,0,0,0,4,0,2,2,91,2,0,0,111,0,8,0,0,0,0,24,0,0,6,0,0,1,21,0,0,22,0,5,0,4,0,3,0,0,43,0,5,1,0,0,0,0,0,0,0,1,83,173,5,0,0,1,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,53,4,0,0,0,0,0,0,0,0,0,0,6,311,0,8,43,127,0,1,0,0,178,0,31,11,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,463,0,0,0,0
FF.0202.500,0,0,29,0,0,0,0,5,1,13,22,0,0,0,9,0,0,0,80,17,16,0,16,0,0,1,0,3,0,0,0,0,11,2,2,0,42,0,0,6,0,11,0,3,0,5,0,10,1,0,21,0,0,0,0,5,0,42,0,15,124,125,52,0,0,42,0,5,0,7,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,10,0,10,45,3,4,9,0,0,1,0,3,31,1,35,3,149,1,1,0,0,54,0,20,2,0,4,0,0,0,6,0,35,0,0,0,0,0,0,0,646,0,0,2,0
FF.0203.500,0,0,0,0,2,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,603,1,0,6,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,120,0,0,113,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,649,0,0,0,0,0,0,0,8,0,0,0,0
FF.0204.500,1,0,71,0,10,0,0,0,1,9,4,0,0,0,1,0,1,1,24,0,4,0,18,0,1,0,0,0,0,29,7,0,2,0,10,0,11,0,0,41,0,27,0,3,0,5,0,6,24,0,11,0,0,0,0,1,0,0,1,10,83,1,14,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,46,1,0,7,1,1,1,11,6,0,0,1,0,0,0,6,1,12,7,39,9,774,0,0,0,0,84,0,20,0,1,4,0,0,0,2,0,0,0,0,14,0,0,0,1,234,0,0,0,0
FF.0207.539,1,0,0,0,0,5,0,8,0,8,2,0,0,0,5,0,0,0,190,0,0,0,146,0,2,2,0,0,0,3,0,0,0,0,72,2,113,0,58,85,0,43,0,7,0,0,0,0,4,0,32,0,0,0,0,8,0,0,0,54,210,25,24,0,0,50,2,5,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,32,0,0,0,0,50,0,0,7,0,0,0,0,0,9,1,58,1,52,3,0,3,0,67,0,103,1,0,12,0,0,0,9,0,1,0,0,21,0,0,0,28,303,26,0,0,0
FF.0213.500,7,0,0,0,9,0,0,1,7,0,18,1,0,0,7,0,0,1,65,0,25,0,50,0,5,0,0,3,0,9,0,0,3,7,4,2,47,0,1,76,0,6,0,13,0,0,0,6,1,0,42,0,0,0,0,0,0,0,0,43,189,53,34,2,0,9,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,11,2,0,0,0,22,0,1,4,4,0,0,1,1,19,13,40,5,488,5,3,0,0,279,0,25,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,290,0,1,0,0
FF.0216.500,2,0,0,0,1,1,1,17,0,0,19,0,0,1,23,1,0,0,93,2,0,1,76,0,4,2,0,0,1,55,0,0,1,2,1,3,58,0,0,5,0,27,0,35,0,0,0,1,2,0,20,0,0,0,0,0,0,0,0,7,111,19,7,22,0,29,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,20,2,1,0,24,2,0,2,21,0,9,19,6,60,7,54,48,263,1,3,0,0,214,1,61,2,0,0,0,1,0,4,0,20,0,0,0,0,1,0,3,452,13,0,1,0
FF.0228.500,1,0,0,0,2,0,0,0,5,20,6,0,0,0,18,0,0,0,44,7,21,0,62,0,3,1,0,0,0,0,0,0,5,3,0,7,55,0,0,21,0,19,0,82,0,0,0,7,1,0,48,0,0,0,0,17,0,0,0,19,72,21,14,0,0,13,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,14,0,0,13,4,0,5,0,0,15,0,90,0,956,0,0,0,0,90,0,12,1,0,0,0,1,0,0,1,6,0,0,4,0,0,0,0,156,0,0,0,0
FF.0230.500,7,0,0,0,7,0,0,9,0,44,7,0,4,1,4,0,0,0,140,6,25,0,47,0,14,2,0,0,0,6,27,0,13,1,39,0,76,0,1,125,0,32,0,3,0,2,0,13,0,0,19,0,0,0,0,3,0,0,0,10,190,11,26,6,0,17,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,18,0,1,0,2,25,0,2,0,0,1,0,6,2,3,7,83,7,147,2,1,0,0,161,0,110,0,0,0,0,0,0,1,4,15,0,211,0,0,0,0,0,210,0,0,0,0
FF.0231.500,10,0,22,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,10,12,53,12,5,0,1,1,0,1,1,168,2,0,2,0,33,0,7,3,22,36,0,19,0,17,0,0,0,0,28,0,2,0,0,0,0,17,0,46,0,52,69,61,49,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,5,0,0,18,46,0,0,0,0,0,0,35,2,55,0,26,0,498,0,0,0,0,25,0,6,0,0,0,0,2,0,1,0,171,0,0,25,0,0,0,5,234,0,0,0,0
FF.0246.500,0,0,0,0,0,2,0,8,0,0,218,0,0,0,1,0,0,0,113,1,0,1,68,0,10,0,0,46,0,1,0,0,6,4,0,14,76,0,1,25,1,1,0,0,0,0,0,0,1,0,26,4,0,0,0,0,0,0,0,9,104,622,27,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,7,0,0,0,0,0,176,50,33,3,104,0,1,0,0,44,0,12,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,121,0,0,0,0
FF.0249.500,0,0,1,0,0,0,0,2,0,6,2,0,0,0,20,0,4,4,29,9,0,2,21,0,3,0,0,0,0,12,20,0,2,7,10,0,51,0,13,6,0,10,0,25,0,0,0,8,38,0,33,0,0,0,0,2,0,0,0,77,39,5,66,82,0,4,0,0,142,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,32,0,1,5,0,26,0,0,8,2,0,0,23,10,29,15,47,18,431,0,0,0,0,16,0,10,0,0,8,0,0,0,0,0,31,0,58,5,0,2,0,1,441,0,1,0,0
FF.0256.529,9,0,0,0,1,0,0,3,2,6,9,0,0,0,4,0,0,3,328,0,0,3,171,0,0,0,0,0,0,0,0,0,0,4,0,2,47,0,1,80,0,24,0,5,0,0,0,0,8,0,112,1,0,0,1,0,0,2,1,55,85,80,23,0,0,2,2,0,0,0,13,0,0,1,0,0,3,0,0,0,0,0,11,0,0,0,3,2,1,0,0,2,0,5,0,2,9,0,0,0,0,0,87,54,1,5,218,0,2,1,0,2,0,55,0,0,0,0,0,0,0,1,150,0,0,31,1,0,0,0,264,0,2,0,0
FF.0259.500,1,0,0,9,34,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,186,0,0,0,1,15,0,2,0,0,0,0,1,0,1,0,1,1,172,10,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,53,57,11,0,688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,610,0,0,3,0,0,0,0,28,0,1,0,0
FF.0260.500,2,0,0,0,2,0,0,0,2,8,0,1,0,0,42,0,0,0,5,1,3,0,69,0,8,0,0,0,0,6,8,0,7,4,22,1,85,0,33,24,0,35,0,52,0,5,0,7,77,0,5,0,0,0,34,4,0,0,0,6,56,15,16,2,0,9,0,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,0,0,54,6,0,11,2,0,2,0,6,0,0,1,2,0,4,0,0,5,0,3,2,562,1,7,0,0,31,0,129,3,0,2,0,2,0,2,0,9,0,0,2,0,0,0,21,426,1,0,0,0
FF.0263.500,0,0,2,0,3,0,0,0,4,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,3,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,2,0,0,0,0,0,0,2,0,51,0,0,0,570,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,106,38,0,0,914,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,131,0,0,7,0,0,0,0,13,0,0,0,0
FF.0264.500,5,0,0,0,7,0,0,6,0,2,9,0,0,1,1,0,2,2,147,10,0,0,27,0,5,5,0,0,0,1,16,0,41,2,0,0,49,0,26,26,1,16,0,6,0,3,0,3,20,0,25,0,0,0,0,4,0,1,0,30,80,10,30,72,0,35,0,15,10,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,7,0,4,0,0,38,0,0,2,4,0,4,26,1,16,20,39,19,271,0,1,0,0,60,0,51,0,0,1,0,1,0,12,0,25,1,0,0,0,2,0,0,522,0,0,1,0
FF.0290.537,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,2,0,8,1,35,0,18,0,1,0,0,0,0,32,1,0,23,1,70,0,8,0,22,89,0,14,0,226,0,2,0,1,25,0,7,0,0,0,0,6,0,0,0,29,30,162,30,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54,0,2,118,0,2,0,18,0,0,0,0,0,0,0,4,104,0,19,10,276,0,2,1,0,15,0,26,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,347,0,0,0,0
