"","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Akkermansia","Alistipes","Allisonella","Allobaculum","Anaerococcus","Anaerofilum","Anaerorhabdus","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovorax","Atopobium","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Bulleidia","Butyricicoccus","Butyricimonas","Caldimonas","Caloramator","Campylobacter","Catenibacterium","Citrobacter","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Corynebacterium","Cronobacter","Denitrobacterium","Desulfotomaculum","Desulfovibrio","Dialister","Dietzia","Dorea","Eggerthella","Enterobacter","Enterococcus","Enterorhabdus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Flavonifractor","Fusobacterium","Gardnerella","Gemella","Gemmiger","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Halomonas","Hespellia","Holdemania","Howardella","Klebsiella","Kluyvera","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leuconostoc","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Murdochiella","Mycoplasma","Negativicoccus","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Pantoea","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Porphyromonas","Prevotella","Propionibacterium","Proteus","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhodococcus","Robinsoniella","Roseburia","Rothia","Ruminococcus","Saccharofermentans","Salmonella","Selenomonas","Shewanella","Slackia","Sneathia","Solobacterium","Sphingomonas","Sporanaerobacter","Sporobacter","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","TM7_genera_incertae_sedis","Tepidimicrobium","Tindallia","Tissierella","Turicibacter","Unassigned","Vampirovibrio","Varibaculum","Veillonella","Victivallis","Weissella","Zimmermannella"
"CNTRLA2",14,0,41,6,5,3680,186,0,4,0,35,25,0,95,4,37,37,514,84,649,6,271,0,0,7,31,0,46,0,0,14,221,80,134,61,707,0,465,82,5,0,101,0,2,32,0,0,260,0,234,12,17,42,10,0,0,123,9,670,85,0,0,33,0,0,4,97,3,2,123,0,0,4,41,29,3,0,0,3,3,15,2,0,0,9,0,0,0,173,4,4,0,0,10,0,0,0,0,0,9,57,0,95,2,0,70,0,12,0,0,0,75,0,0,0,156,8,3,143,18,15,0,0,8,7892,3,546,0,2,0,9,10,0,0,0,0,22,0,8,10,4,0,39,0,0,4,0,16,1013,0,0,0,0,0,0
"CNTRLA3",42,0,0,6,0,34,427,0,94,0,9,3,14,56,0,58,0,755,81,273,10,192,0,0,11,19,0,28,0,0,21,399,33,159,43,288,9,140,197,0,0,417,28,6,0,16,95,0,0,137,12,26,62,18,3,0,1032,16,119,1826,0,0,13,0,0,4,169,0,0,166,9,0,3,7,7,0,0,3,26,4,306,4,5,0,20,4,0,0,0,0,7,0,0,10,0,0,0,0,0,69,0,8,550,2,6,59,0,5,6,38,0,136,0,72,0,6741,0,704,85,5,3,0,0,2,1875,0,629,8,0,0,6,6,0,0,0,0,20,3,0,42,11,0,13,9,0,0,0,28,820,0,0,6,0,8,0
"CNTRLA4",0,0,0,22,16,289,56,0,104,0,0,8,0,15,0,20,11,584,85,2202,8,130,34,0,0,19,0,33,0,10,26,504,6,312,171,115,0,227,50,0,0,91,67,25,35,0,0,36,23,84,5,32,11,68,0,0,366,6,39,415,0,0,7,0,0,61,262,0,3,40,20,0,42,131,0,0,0,0,13,0,3285,7,0,3,10,0,38,0,0,8,0,0,0,9,0,0,0,0,0,0,7,0,108,0,0,25,0,0,0,0,0,0,0,42,0,7198,8,11,26,0,0,0,0,5,421,6,142,0,4,0,54,3,0,0,14,0,38,0,0,122,25,0,0,0,0,0,0,15,1209,0,0,13,0,0,0
"CNTRLA5",4,0,0,22,13,205,26,0,195,0,4,0,7,403,6,0,15,246,5,1141,0,2111,0,0,52,0,0,21,0,64,3,885,15,585,93,515,12,499,141,0,6,717,182,0,35,0,22,76,0,327,3,4,13,50,0,4,44,0,73,1249,0,0,0,0,14,49,351,0,2,114,13,11,2,260,68,6,15,3,0,6,682,157,6,0,47,17,0,0,59,16,6,0,0,30,0,0,0,0,0,8,2,0,18,0,0,14,0,46,0,0,0,0,0,33,0,4414,8,2,24,4,17,0,0,31,845,11,317,0,0,0,63,6,0,118,10,0,13,17,0,801,13,16,0,7,112,5,0,59,864,10,0,0,0,0,0
"CNTRLA6",5,0,9,82,142,7,5,0,179,0,4,0,0,471,0,46,31,14,0,870,0,2309,0,0,34,0,0,26,0,104,0,749,66,1071,64,1189,0,803,845,0,16,354,43,4,64,0,9,0,0,278,105,0,17,12,0,0,3,6,292,1605,0,0,0,0,0,37,1050,5,4,394,14,0,0,0,46,4,0,0,0,28,18,22,17,0,98,12,0,0,75,0,0,0,0,7,0,0,0,0,0,0,10,0,78,0,0,0,0,14,0,0,0,113,0,35,0,353,0,0,18,22,0,0,0,11,1240,4,2297,0,0,0,2,52,0,0,0,2,75,36,0,239,41,0,0,17,137,6,0,78,1321,0,0,0,0,0,0
"CNTRLA7",0,0,0,13,14,1,94,0,184,0,0,0,3,11,0,8,2,424,62,125,0,396,0,0,14,2,0,31,0,3,0,2,1,5,48,135,0,3,70,0,0,87,0,0,3,0,0,37,0,30,3,1,4,0,0,1,2,0,52,1721,6,0,0,0,0,8,376,0,1,50,0,0,0,0,5,1,0,2,0,0,1,8,2,0,8,4,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,2,42,0,0,47,0,2,13,5,0,0,0,0,0,14281,1,0,28,4,1,0,0,1,981,1,67,0,0,0,0,10,0,1,0,0,4,0,0,47,13,0,0,1,0,1,0,3,365,0,0,0,0,0,0
"CNTRLA8",20,0,0,4,3,323,131,0,5,0,1,4,9,39,4,57,1,609,151,40,5,102,0,0,6,34,1,25,0,5,0,29,7,16,52,184,8,13,21,0,0,78,0,0,10,11,13,459,0,37,1,0,23,4,0,1,11,2,66,672,0,0,3,0,0,3,98,0,1,96,15,0,0,0,5,4,2,0,1,1,14,0,2,1,4,5,0,25,0,0,0,25,0,8,0,0,0,0,0,31,7,15,180,0,4,20,0,2,3,4,4,0,0,9,0,12849,1,0,5,8,0,0,0,3,182,1,118,9,0,6,0,2,0,6,0,0,59,2,0,14,2,1933,4,1,50,1,0,6,489,10,0,0,7,0,0
"CNTRLA9",233,14,25,3,6,17,0,0,35,56,10,0,6,28,99,502,6,48,14,214,7,502,0,0,55,0,0,55,0,277,8,2032,86,81,0,627,68,267,203,0,4,896,201,5,64,35,0,229,0,232,3,15,45,41,0,64,140,33,376,1284,21,0,16,0,0,0,413,0,2,205,11,16,2,264,11,3,46,0,0,0,13,4,3,0,24,10,0,20,802,6,0,122,0,0,0,0,0,0,0,7,183,7,1071,3,8,6,0,8,0,0,7,0,0,0,0,1371,7,2,7,31,4,6,0,6,432,0,2966,10,2,0,80,13,0,44,8,2,152,19,0,1,51,0,0,0,0,0,0,74,2057,9,0,0,0,15,0
"CNTRLP1",16,0,0,25,6,52,242,0,4,0,113,134,24,95,0,82,23,1151,17,852,0,626,0,0,0,11,0,11,0,0,3,237,171,251,425,1134,0,145,377,0,0,452,194,0,28,0,0,0,0,384,15,12,235,0,0,0,37,16,732,5006,0,0,0,0,0,8,1079,4,7,562,12,0,38,32,62,3,0,0,0,17,7,27,18,4,20,18,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,11,153,0,0,23,0,36,0,0,0,0,0,206,68,0,0,0,18,12,0,0,0,20,527,6,1170,10,2,0,8,195,0,0,9,0,44,19,0,337,14,0,176,9,0,0,0,9,1576,0,0,0,0,0,0
"CNTRLP2",18,0,13,15,3,135,323,0,16,0,4,37,20,71,0,32,11,1698,36,145,19,110,0,0,21,14,0,8,0,0,0,682,56,429,120,341,0,170,65,0,0,199,81,3,25,0,8,0,0,149,9,48,41,0,3,0,1068,25,911,4335,24,0,0,0,0,0,1565,0,0,905,57,0,13,69,13,107,0,0,151,0,117,3,4,2,22,5,0,0,0,5,0,0,0,0,0,0,0,24,0,13,0,17,277,0,0,26,0,3,0,0,0,293,0,965,0,219,8,13,8,5,5,0,0,6,251,4,860,0,2,0,27,55,0,0,0,0,48,5,0,308,21,0,0,3,0,0,0,134,1761,0,0,0,0,0,0
