"","Abiotrophia","Acetanaerobacterium","Acetitomaculum","Acetivibrio","Acetoanaerobium","Acetobacter","Achromobacter","Acidaminobacter","Acidaminococcus","Acidovorax","Acinetobacter","Actinobacillus","Actinobaculum","Actinomyces","Adlercreutzia","Aerococcus","Aeromonas","Aggregatibacter","Akkermansia","Alcaligenes","Alistipes","Alkalibacter","Alkalibacterium","Alkalibaculum","Alkaliphilus","Allisonella","Allobaculum","Alloscardovia","Anaerobiospirillum","Anaerobranca","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaerophaga","Anaeroplasma","Anaerorhabdus","Anaerosphaera","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovibrio","Anaerovorax","Aquabacterium","Aquaspirillum","Arcanobacterium","Arthrobacter","Asteroleplasma","Atopobium","Atopostipes","Azonexus","Azospirillum","Bacillus","Bacteroides","Barnesiella","Bdellovibrio","Bifidobacterium","Bilophila","Blautia","Brachybacterium","Brachyspira","Bradyrhizobium","Brevibacillus","Brevibacterium","Brevundimonas","Bulleidia","Burkholderia","Butyricicoccus","Butyricimonas","Butyrivibrio","Caldilinea","Caldimonas","Caloramator","Campylobacter","Carnobacterium","Catenibacterium","Catonella","Cedecea","Cellulomonas","Cellulosilyticum","Cerasicoccus","Chryseobacterium","Citrobacter","Cloacibacillus","Cloacibacterium","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XII","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Coraliomargarita","Coriobacterium","Corynebacterium","Cronobacter","Cryptobacterium","Cupriavidus","Dehalobacter","Delftia","Denitrobacterium","Dermabacter","Desmospora","Desulfitobacterium","Desulfobulbus","Desulfohalobium","Desulfosporosinus","Desulfotomaculum","Desulfovibrio","Dethiobacter","Dethiosulfatibacter","Devosia","Dialister","Dietzia","Dongia","Dorea","Dysgonomonas","Eggerthella","Elizabethkingia","Elusimicrobium","Enhydrobacter","Enterobacter","Enterococcus","Enterorhabdus","Eremococcus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Facklamia","Faecalibacterium","Fastidiosipila","Filifactor","Finegoldia","Flavobacterium","Flavonifractor","Fodinicurvata","Francisella","Fusobacterium","Galbibacter","Gallicola","Gardnerella","Gemella","Gemmiger","Geoalkalibacter","Geobacillus","Georgfuchsia","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Hallella","Halochromatium","Halomonas","Haloplasma","Helcococcus","Helicobacter","Heliobacterium","Herbaspirillum","Hespellia","Holdemania","Howardella","Humibacter","Hydrogenoanaerobacterium","Hydrotalea","Hymenobacter","Janthinobacterium","Jonquetella","Kangiella","Kiloniella","Klebsiella","Kluyvera","Kocuria","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leptotrichia","Leucobacter","Leuconostoc","Limnobacter","Listeria","Lutispora","Lysinibacillus","Mangrovibacter","Marispirillum","Marvinbryantia","Megamonas","Megasphaera","Mesoplasma","Methanobrevibacter","Methanosphaera","Methylobacterium","Microbacterium","Micrococcus","Mitsuokella","Mobiluncus","Modestobacter","Mogibacterium","Moorella","Moraxella","Morganella","Moryella","Mucilaginibacter","Murdochiella","Mycobacterium","Mycoplasma","Natronincola","Negativicoccus","Neisseria","Nesterenkonia","Nocardioides","Nonomuraea","Nosocomiicoccus","Novispirillum","Novosphingobium","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalicibacterium","Oxalobacter","Paenibacillus","Paludibacter","Pantoea","Papillibacter","Parabacteroides","Paracoccus","Paraeggerthella","Parapedobacter","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Pectobacterium","Pediococcus","Pedobacter","Pelistega","Pelomonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phyllobacterium","Planobacterium","Plesiomonas","Pontibacter","Porphyromonas","Prevotella","Propionibacterium","Proteocatella","Proteus","Providencia","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pseudoxanthomonas","Psychrobacter","Psychromonas","Pyramidobacter","Ralstonia","Raoultella","Rhizobium","Rhodococcus","Rhodospirillum","Rikenella","Robinsoniella","Roseburia","Rothia","Ruminobacter","Ruminococcus","Saccharibacillus","Saccharofermentans","Salmonella","Sarcina","Scardovia","Schlegelella","Schwartzia","Selenomonas","Serratia","Shewanella","Shimwellia","Shinella","Shuttleworthia","Slackia","Sneathia","Soehngenia","Solibacillus","Solobacterium","Sphingobacterium","Sphingobium","Sphingomonas","Sphingopyxis","Spirochaeta","Spiroplasma","Spirosoma","Sporacetigenium","Sporanaerobacter","Sporobacter","Sporosalibacterium","Sporosarcina","Staphylococcus","Stenotrophomonas","Streptacidiphilus","Streptobacillus","Streptococcus","Streptomyces","Subdoligranulum","Succinatimonas","Succiniclasticum","Succinivibrio","Sulfuritalea","Sutterella","Syntrophococcus","Syntrophomonas","TM7_genera_incertae_sedis","Tannerella","Tepidibacter","Tepidimicrobium","Tessaracoccus","Thermanaerovibrio","Thermoanaerobacter","Thermogymnomonas","Thermotalea","Thiohalobacter","Thiomonas","Thioprofundum","Tindallia","Tissierella","Treponema","Turicibacter","Unassigned","Ureaplasma","Vagococcus","Vampirovibrio","Varibaculum","Variovorax","Veillonella","Vibrio","Victivallis","Virgibacillus","Vulcanibacillus","Weissella","Yersinia","Zimmermannella"
"4EP82",0,1,0,0,0,0,0,0,192,0,0,0,0,0,1,0,0,0,0,0,75,0,0,0,0,2,75,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,3,0,2,0,0,0,0,0,0,0,0,2236,206,0,4,3,102,0,0,0,0,0,0,0,0,32,2,1,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,12,15,56,0,3,439,2,1,13,0,0,146,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,211,0,0,0,0,0,0,35,0,0,0,6,0,0,1,0,0,0,2,4,21,2,0,202,0,0,0,0,1,0,0,0,6,0,0,0,125,1,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,348,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,126,0,0,0,1,0,0,289,0,0,0,617,0,0,0,0,0,0,0,0,1,0,0,123,0,0,0,0,14,1091,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,41,0,0,777,0,0,274,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,0,0,0,2,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,793,0,0,0,0,0,0,0,0,0,0,0,0,0
"4EP83",0,0,0,0,0,0,0,0,113,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,0,0,8,325,0,11,1,0,6,0,0,4,2,0,0,0,0,2570,0,0,441,0,184,0,2,0,0,0,0,0,0,4,0,3,0,0,3,10,0,9,0,0,0,0,0,0,0,0,0,0,2,149,0,35,671,0,67,10,0,0,712,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,296,0,0,10,0,0,0,12,0,0,1,12,0,0,2,3,1,30,0,420,0,0,0,0,1,0,0,0,3,0,0,2,21,1,0,0,0,0,52,3,9,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,30,3,0,0,0,2,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,14,0,0,0,3,0,0,610,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,4,0,0,0,0,14,4,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,18,0,0,665,0,0,252,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,12,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,102,141,0,0,0,0,0,96,0,0,0,0,0,0,0
"4EP84",0,47,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,92,0,864,0,0,0,0,4,2,0,0,0,0,1,0,0,0,12,0,0,23,17,3,0,3,0,2,0,0,0,0,0,0,0,0,267,17,0,232,8,351,0,0,0,0,0,0,0,0,26,139,1,0,0,21,12,0,12,0,0,0,0,0,0,0,2,0,75,28,30,0,14,150,13,31,43,0,0,136,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,61,0,0,0,22,0,0,87,0,8,0,7,0,0,1,0,0,0,2,0,21,151,0,845,0,0,0,0,7,0,0,0,4,0,0,0,155,1,0,0,0,0,90,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,1,0,0,13,86,0,0,0,0,0,0,0,12,0,0,0,0,0,78,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,4,0,428,0,3,0,0,0,0,374,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,5,0,0,0,0,13,67,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,38,0,0,119,0,0,1456,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,92,0,0,0,123,0,0,0,0,0,0,53,0,0,0,0,64,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,399,0,0,96,0,0,3,0,16,0,0,0,0,0
"4EP85",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,88,0,0,0,0,0,0,0,0,9,0,0,3,24,0,0,1,0,1,0,0,0,0,0,0,0,0,156,10,0,391,0,50,0,0,0,0,0,0,0,0,6,0,1,0,0,3,0,0,214,0,0,0,0,0,0,0,0,0,26,3,352,0,0,57,0,5,48,0,0,63,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,0,0,2,0,2,0,0,967,0,0,0,0,1,0,0,0,6,0,0,0,42,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,18,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,14,6142,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,49,0,0,64,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,142,0,0,0,0,0,0,0,0,0,0,0,0,0
"4EP86",0,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,463,0,0,0,6,1,2,0,0,0,0,0,0,0,0,11,0,0,0,6,2,0,1,0,2,0,0,0,0,0,0,0,0,4476,90,0,19,15,151,0,0,0,0,0,0,0,0,9,84,1,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,12,37,14,0,14,347,11,0,10,0,0,65,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,48,0,0,56,0,0,0,6,0,0,1,0,0,0,2,0,1,17,0,1007,0,0,0,0,43,2,0,0,6,0,0,0,67,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,83,0,0,0,0,0,0,10,1,0,0,0,0,5,0,0,0,0,0,0,6,0,0,1,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,117,0,0,0,1,0,0,552,0,0,0,164,1,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,228,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,45,0,0,54,0,0,124,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,794,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,231,0,0,0,0,0,1,0,192,0,0,0,0,0
"4EP87",0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,8,0,27,2,0,11,0,0,4,0,0,0,0,0,50,31,0,0,0,109,0,3,0,0,0,0,0,0,6,2,5,0,0,2,0,0,82,0,0,0,0,0,0,0,0,0,28,9,74,0,1,236,2,18,8,0,0,216,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,3,26,0,0,0,88,0,0,19,0,0,0,16,0,0,1,2,0,0,2,1,1,80,0,1056,0,0,0,0,2,0,0,0,6,0,0,0,11,3,0,0,0,0,3,0,34,0,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,3,0,1,0,0,0,44,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,2,0,10,88,0,0,0,14,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,18,3582,0,0,0,0,86,1,0,0,0,0,0,0,0,0,0,10,0,1,132,2,0,161,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,23,0,0,0,0,1189,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,1013,0,0,1,0,0,8,0,4,0,0,2,0,0
"4EP88",0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,1,0,3,0,0,1,19,0,0,0,0,7848,4,0,18,0,48,0,0,0,0,0,0,0,0,23,0,1,0,0,2,5,0,10,0,1,0,0,0,0,5,0,0,7,2,64,0,22,221,4,153,13,0,0,18,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,399,0,0,0,9,3,315,1,0,0,0,2,198,2,7,0,321,0,0,0,0,1,0,0,0,10,0,0,1,31,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,5,0,0,0,9,0,0,88,0,0,0,58,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,16,97,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,30,0,0,79,3,0,70,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,166,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,1200,0,0,0,0,0,544,0,0,0,0,0,0,0
"CNTRL20",0,88,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,859,0,0,0,0,2,134,0,0,0,0,21,0,0,0,7,0,0,2,12,5,26,7,0,8,0,0,3,0,0,0,0,0,4568,453,0,29,5,79,2,5,0,0,0,0,0,0,51,94,1,0,0,16,1,0,27,1,0,0,0,0,0,0,0,0,652,66,125,0,3,318,3,45,18,0,0,253,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,8,0,0,33,0,0,0,13,0,0,0,12,0,0,20,0,95,28,0,1236,0,0,0,0,25,0,0,0,1,0,0,0,56,2,0,0,0,0,98,0,2,0,5,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,7,0,0,0,0,1,212,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,178,2,0,889,0,7,0,55,0,0,354,0,0,0,24,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,39,3796,0,0,0,0,40,24,0,0,0,0,0,0,0,0,0,4,0,0,974,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,1,0,0,0,0,120,0,0,0,0,0,0,15,0,0,0,0,3,0,51,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,14,844,0,0,8,0,0,3,0,24,0,0,0,0,0
"CNTRL23",0,2,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,1,0,185,0,0,1,0,2,8,0,0,0,0,1,1,0,0,7,0,0,2,35,0,23,3,0,8,0,0,4,0,0,0,0,0,1191,61,0,2,8,66,0,5,0,0,0,0,0,0,18,17,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,268,16,32,0,3,154,3,27,12,0,0,167,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,0,0,0,8,0,0,80,0,0,0,13,0,0,0,0,0,0,1,213,17,176,0,707,0,0,0,0,1,0,0,0,1,0,0,0,61,2,0,0,0,0,116,0,2,0,5,0,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,6,1,3,293,0,0,0,54,0,0,216,0,0,0,27,1,6,0,0,0,0,0,0,1,0,0,90,0,0,0,0,42,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,88,0,0,184,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,4,327,0,1,7,0,0,0,0,25,0,0,0,0,0
"CNTRL300",0,126,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,2,45,0,0,0,0,8,1,0,32,7,0,0,39,131,21,21,36,0,8,0,0,4,0,0,0,10,0,149,52,0,9,0,232,0,5,0,0,0,0,0,0,25,76,20,0,6,17,1,0,87,0,0,0,0,4,0,0,19,0,147,17,18,0,0,978,36,9,9,0,0,310,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,66,0,1,0,470,0,0,90,0,0,0,343,0,0,0,9,0,0,26,0,25,252,0,1067,0,0,0,0,11,0,0,0,45,0,0,0,42,74,0,0,0,0,146,0,2,0,5,0,0,0,0,3,0,0,1,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,25,2,441,0,1,0,0,0,0,356,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,21,0,7,8,65,457,0,4,0,47,0,1,125,0,0,1,132,0,0,0,0,0,8,0,0,5,0,0,50,0,0,0,0,342,5869,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,7,0,0,140,0,0,449,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,93,0,0,0,0,1,0,0,0,2,178,0,0,0,0,0,0,0,0,0,0,0,1706,0,176,0,0,0,0,0,0,0,1,0,26,3,2,1,0,0,0,1120,10,1756,0,0,322,0,0,3,0,643,0,0,0,0,0
"CNTRL48",0,2,0,0,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,7,0,0,1,14,0,3,6,0,4,0,0,1,8,0,0,0,0,114,38,0,99,0,434,0,0,0,0,0,0,0,0,33,6,1,0,0,34,1,0,69,0,0,0,0,0,0,0,0,0,54,2,130,0,134,1160,3,9,0,0,0,81,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,10,0,0,127,0,4,0,9,0,0,0,0,0,0,1,1,0,17,0,296,0,0,0,0,1,0,0,0,0,0,0,20,318,2,0,0,0,12,7,11,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,102,0,0,0,0,5,18,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,20,2,10,17,0,0,0,29,0,0,27,0,0,0,31,0,1,0,0,0,0,0,0,1,0,0,136,0,0,0,0,53,1868,1,0,0,0,70,1,0,0,0,0,0,0,0,0,0,15,0,0,64,2,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,7,0,0,1,0,0,0,246,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,668,0,0,4,0,0,1,0,18,0,0,0,0,0
"CNTRL52",0,21,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,9,101,0,0,0,0,32,0,0,0,7,0,0,12,19,0,26,1,0,8,0,0,3,0,0,0,0,0,977,112,0,432,0,166,0,5,0,0,0,0,0,0,51,28,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,198,52,9,0,11,743,3,16,57,0,0,396,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,0,0,0,57,0,0,112,0,0,0,13,0,0,0,4,0,0,1,0,62,36,0,1815,0,0,0,0,5,0,0,0,1,0,0,0,162,2,0,0,0,0,105,1,2,0,5,0,0,0,0,3,0,0,1,13,0,0,2,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,19,0,0,0,3,1,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,77,0,17,387,0,0,0,55,0,0,111,0,0,0,24,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,39,414,0,0,0,0,48,11,0,0,0,0,0,0,0,0,0,4,0,0,1442,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0,24,0,0,0,0,3,0,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,3,975,0,0,8,0,0,0,0,24,0,0,0,0,0
"CNTRL82",0,2,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,119,0,0,0,0,0,0,0,0,5,0,0,14,161,0,14,17,0,8,0,0,4,0,0,0,3,0,79,6,0,10,3,224,0,4,0,0,0,0,0,0,45,4,101,0,0,57,1,0,322,0,0,0,1,0,0,0,0,0,136,13,316,3,0,336,11,52,14,0,0,160,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,7,6,0,1,0,94,0,0,176,0,0,0,11,0,0,0,12,0,0,10,0,3,63,0,307,0,0,0,0,8,0,0,0,46,0,0,0,30,2,0,0,0,0,704,0,2,0,3,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,3,9,0,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,9,4,0,666,0,2,0,34,0,1,11,0,0,0,155,0,1,0,0,0,0,0,0,34,0,0,208,0,0,0,0,37,1963,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,13,0,0,106,0,0,1345,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,0,1,155,1,0,0,0,0,0,1,0,0,0,0,5,0,137,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,11,0,1400,0,0,8,0,0,1,0,23,0,2,0,0,0
"CNTRL89",0,17,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,21,0,0,0,0,2,4,0,0,0,0,1,0,0,0,6,0,0,2,121,0,18,1,0,8,0,0,4,0,0,0,0,0,118,30,0,187,0,834,0,4,0,0,0,0,0,0,73,4,1,0,0,3,1,0,382,0,0,0,0,0,0,0,0,0,58,23,50,0,6,314,3,139,90,0,0,437,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,44,0,0,131,0,0,0,12,0,0,0,2,0,0,2,0,5,115,0,405,0,0,0,0,1,0,0,0,1,0,0,0,207,2,0,0,0,0,25,0,2,0,4,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,1,0,0,0,0,0,0,16,0,0,0,4,2,14,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,8,3,14,248,0,0,0,43,0,0,3,0,0,0,28,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,44,1345,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,10,0,0,324,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,42,0,0,0,0,0,0,22,0,0,0,0,4,0,39,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,30,271,0,0,8,0,0,0,0,23,0,0,0,0,0
"CNTRLA1",0,3,0,0,0,0,0,0,86,0,0,0,0,1,1,0,0,0,84,0,60,0,0,0,0,1,38,0,0,0,0,2,1,0,0,5,0,0,12,1181,5,11,9,0,8,0,0,4,1,0,0,0,0,2801,186,0,12,0,350,0,3,0,0,0,0,0,0,42,5,1,0,0,8,1,0,113,1,0,0,0,0,0,0,0,0,127,35,981,1,23,707,13,1102,28,0,2,532,4,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,6,0,0,0,166,0,0,106,0,5,0,11,0,0,0,3,0,0,2,0,1,119,0,726,0,0,0,0,8,0,0,0,1,0,0,0,66,2,0,0,0,0,38,0,2,0,1,0,0,0,0,1,0,2,7,1,2,0,1,0,0,0,0,0,0,0,0,2,112,2,0,0,0,0,0,0,0,19,0,0,0,2,2,6,0,51,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,48,3,10,224,0,7,0,26,0,0,38,0,0,0,37,2,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,31,2121,0,1,0,0,33,6,0,0,0,0,0,0,0,0,0,19,0,0,571,1,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,2,0,29,0,0,0,0,0,0,35,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,186,399,0,0,9,0,0,29,0,21,0,0,0,0,0
