cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.005,24,768,3,47,relu,constant,0.2,80,0.00011859398569403712,0.5562965869903564,0.2175448581792551,2,0.09294871794871795,20,5,128,kaiming_uniform,0.010454054359260195,2.3098940465557334e-07,0.787173821156645,eom,0.4084857687556525,layernorm,none
0.005,21,768,3,61,relu,constant,0.2,150,0.00011538493339908555,0.474766343832016,0.18624272860698202,4,0.7168803418803419,16,5,64,kaiming_uniform,0.03603904222655946,1.5374407728966578e-06,0.8238942288192495,eom,0.4215012912160494,layernorm,none
0.005,25,768,3,46,relu,constant,0.0,80,0.0001312267468817626,0.4503348469734192,0.2679392892730132,2,0.9241452991452992,16,10,128,kaiming_uniform,0.03987061941836012,1.0818699178389391e-08,0.8209162766718938,eom,0.46305288644241216,layernorm,none
0.005,31,768,3,44,relu,constant,0.0,150,0.00013813619969745635,0.29415902495384216,0.38551524699452316,2,0.7905982905982906,18,5,128,kaiming_uniform,0.010202446973931814,1.1120963146445456e-08,0.7608747723092578,eom,0.45860157396156775,layernorm,none
0.005,32,768,3,42,relu,constant,0.0,150,3.425972737691371e-05,0.5139065980911255,0.31349559580265074,2,0.7980769230769231,18,5,128,kaiming_uniform,0.03526731050821519,1.356110621167374e-08,0.6933884881982069,eom,0.5441162042880846,layernorm,none
0.005,34,768,3,34,relu,constant,0.0,80,3.64517661055677e-05,0.5243931412696838,0.3067428455759155,2,0.7232905982905983,18,5,128,kaiming_uniform,0.018545952642154057,1.4054457581084583e-08,0.7090410224613439,eom,0.29555823263555636,layernorm,none
0.005,30,768,4,45,relu,constant,0.0,150,0.00016095434260361778,0.2664222717285156,0.3567898676779538,2,0.6976495726495726,19,5,128,kaiming_uniform,0.018439316378645293,1.082855387702364e-08,0.7438100559285694,eom,0.46931963016762535,layernorm,none
0.005,26,256,3,44,leaky_relu,double,0.0,100,0.0001597298950975283,0.2928658127784729,0.3120336932960803,2,0.9273504273504274,16,null,32,kaiming_uniform,0.010018225811433218,0.00011352043058136703,0.7490169111503402,leaf,0.4607897132800561,layernorm,none
0.005,29,768,3,46,relu,constant,0.2,150,0.000136024409113049,0.4791274070739746,0.12697440293073994,6,0.7681623931623932,17,5,64,kaiming_uniform,0.014542532474497086,3.7110334464263876e-06,0.7944205536846813,eom,0.2866651992205328,layernorm,none
0.005,37,768,4,53,relu,constant,0.0,80,0.00019178396650339972,0.48398008942604065,0.22883415651576483,2,0.9348290598290598,15,20,128,kaiming_uniform,0.07927615365167887,2.3645478658906464e-07,1.1428003264043003,eom,0.46862214531567203,layernorm,none
0.1,44,768,4,55,relu,constant,0.2,150,8.102103325792508e-05,1.209881067276001,0.2752385108915799,2,0.875,13,20,64,kaiming_uniform,0.08231159267525724,6.41775193610427e-06,0.6144044550562646,eom,0.3408800781048175,layernorm,none
0.05,62,768,3,41,relu,constant,0.4,80,2.6980042818944573e-05,1.4659135341644287,0.06237247759247238,2,0.7094017094017094,3,null,128,xavier_normal,0.048367512480163195,5.2544489343122596e-08,0.818812704905816,eom,0.5277436138299119,layernorm,cosine
0.005,63,768,2,47,gelu,constant,0.5,100,0.0002736178877883635,0.5967188477516174,0.15232744204582194,2,0.2532051282051282,3,5,128,xavier_normal,0.04752212447614406,4.263617033113819e-08,0.8115349342774711,eom,0.44850603437245457,layernorm,cosine
0.05,68,768,2,47,gelu,constant,0.5,100,0.0001790612590832322,0.9532673358917236,0.2612153805566484,3,0.12927350427350429,3,null,32,xavier_normal,0.04022098995190356,5.086978774632091e-08,1.149252268960483,eom,0.5887052624237444,layernorm,cosine
0.05,70,768,2,42,gelu,constant,0.5,100,1.595804691102528e-05,1.7240699529647827,0.061617714000040465,2,0.6207264957264957,3,null,128,xavier_normal,0.051821586260948384,2.2930419758775203e-08,0.8225451990349008,eom,0.5720492342739074,layernorm,cosine
0.07,71,768,2,59,gelu,constant,0.5,100,0.00034790650976282856,0.9951757192611694,0.23892468384607002,3,0.13782051282051283,4,10,128,xavier_normal,0.042725514527880565,2.2407818636549693e-08,0.9890667630776762,eom,0.5953348104416376,layernorm,cosine
0.07,78,768,2,60,gelu,constant,0.5,100,0.0003114591208604201,1.0855286121368408,0.19022377203615046,2,0.16346153846153846,5,null,128,xavier_normal,0.0702533106134518,1.9519598643007472e-08,0.978557551148092,eom,0.634860384705488,layernorm,cosine
0.07,79,768,2,60,gelu,constant,0.5,100,0.0006035329493950918,1.0358606576919556,0.23672555710460627,2,0.5384615384615384,5,5,128,xavier_normal,0.06680810773961443,1.970182792537094e-08,0.9675270651176004,eom,0.6662835968666292,layernorm,cosine
0.07,80,768,2,60,gelu,constant,0.5,100,0.0006500223324709505,1.0128165483474731,0.22708909669237748,2,0.9134615384615384,6,5,128,xavier_normal,0.06597525529658152,1.90798298617723e-08,0.8624677445797966,eom,0.6532350955597718,layernorm,cosine
0.05,73,256,2,58,gelu,constant,0.5,100,0.00031573812760043036,0.9962621331214905,0.2620518029690433,2,0.9401709401709402,4,null,32,xavier_normal,0.24466747886505377,1.5971235144632148e-07,1.1853661803962678,eom,0.6239770235832129,layernorm,cosine
0.07,81,768,2,52,gelu,constant,0.5,100,0.000306469542394822,1.061227798461914,0.25315379626198253,3,0.6826923076923077,5,5,128,xavier_normal,0.06254520072157026,2.1306437222979044e-08,0.9931386583505246,eom,0.674491503333317,layernorm,cosine
0.07,82,768,2,37,gelu,constant,0.5,100,0.0005398054068605632,1.0266891717910767,0.2540823568368197,2,0.6997863247863247,5,5,128,xavier_normal,0.06353929220698488,0.000984124577194107,0.8739242013432604,eom,0.6671279158268325,layernorm,cosine
0.05,72,768,2,42,gelu,constant,0.5,100,0.0005024133911222745,0.9143164753913879,0.2750320661118906,3,0.3162393162393162,4,null,32,xavier_normal,0.05853386114707464,3.482927208601174e-08,1.1614518377727319,eom,0.5758159282141869,layernorm,cosine
0.07,83,768,2,52,gelu,constant,0.5,100,1.573917182146571e-05,1.9457505941390991,0.1505257578272706,2,0.9113247863247863,5,null,128,xavier_normal,0.14308945671752835,3.929135731626141e-08,0.8758839259057367,eom,0.5578039737177792,layernorm,cosine
0.07,84,768,2,61,gelu,constant,0.5,100,0.0006934311131297956,1.0790479183197021,0.15072290722282747,2,0.9188034188034188,6,5,128,xavier_normal,0.1501396366225271,3.680481521620517e-08,0.8544547908284431,eom,0.6919248537939131,layernorm,cosine
0.07,86,768,2,37,gelu,constant,0.5,100,0.0005159597577649812,0.9895696043968201,0.29808124291893345,4,0.8493589743589743,7,5,128,xavier_normal,0.019099512660241104,1.9475345341912378e-08,0.7200767608397397,eom,0.5694660024373475,layernorm,cosine
0.07,93,768,3,45,gelu,constant,0.5,100,0.000976229071517814,1.0243000984191895,0.2210682398646013,2,0.9294871794871795,8,null,128,xavier_normal,0.14365695340682513,1.58971466364805e-08,0.7939015645118552,eom,0.7038255120380512,layernorm,cosine
0.07,95,768,3,45,gelu,constant,0.5,100,0.0009449006904117553,1.030215859413147,0.20823652468976692,2,0.8835470085470085,3,null,128,xavier_normal,0.14928458647141554,4.329910623028139e-08,0.7896460854225327,eom,0.540903680530252,layernorm,cosine
0.07,96,768,3,9,gelu,constant,0.2,100,0.000995276053344709,1.108025312423706,0.3210728301554341,2,0.2938034188034188,3,null,128,xavier_normal,0.15192464418085128,4.2001398200623864e-08,1.0537157484791868,eom,0.7531184950990135,layernorm,cosine
0.07,97,768,3,49,gelu,constant,0.2,100,0.00011758452735951827,1.1598542928695679,0.15645067039967694,10,0.938034188034188,3,null,128,xavier_normal,0.14401363047497376,3.600830114920348e-06,1.0536146349928786,leaf,0.7563059947486366,layernorm,cosine
0.07,99,768,2,62,gelu,constant,0.2,100,0.0007313737410420941,0.8095647096633911,0.3461056754012517,2,0.9487179487179487,8,5,128,xavier_normal,0.030555418329401174,3.4344171506912054e-06,0.9532534169929476,eom,0.6038207073656042,layernorm,cosine
0.07,102,768,3,49,relu,constant,0.2,100,2.877204357205464e-05,1.2856130599975586,0.10596995159817299,2,0.8482905982905983,3,null,128,xavier_normal,0.14065123207502364,3.282473574832257e-06,0.9542860503982787,eom,0.7485144126768786,layernorm,cosine
0.07,100,768,3,45,gelu,constant,0.2,100,1.9543674819815176e-05,1.2389627695083618,0.10428198475780394,4,0.0876068376068376,3,null,128,xavier_normal,0.0102701832726606,1.5701899592691265e-07,0.9545222701537068,eom,0.753224174717946,layernorm,cosine
0.005,104,768,3,49,relu,constant,0.2,100,2.6152260868097024e-05,0.6769368052482605,0.08794159584178442,2,0.053418803418803416,3,null,128,xavier_normal,0.01006891948296565,1.6039340948990453e-07,0.7049065392088143,eom,0.421160937023075,layernorm,cosine
0.005,108,768,3,49,relu,constant,0.2,100,1.9643292001955416e-05,0.6407796740531921,0.07961593625646343,6,0.8237179487179487,3,null,128,xavier_normal,0.011026763612959324,4.159861212367508e-06,0.7044423386608127,leaf,0.5377435979535277,layernorm,cosine
0.005,105,768,3,51,relu,constant,0.3,150,2.4706448604054234e-05,0.6914312243461609,0.19685796536272437,4,0.9497863247863247,3,null,128,xavier_normal,0.2889618131265591,6.280608003933896e-08,0.5046895186659146,eom,0.6050500484679457,layernorm,cosine
0.07,107,768,3,49,gelu,constant,0.3,100,0.0007598176966189779,0.9918426871299744,0.03996443481613919,9,0.938034188034188,3,null,64,xavier_normal,0.2061978904736264,3.4863198469829332e-06,0.7123720837014897,leaf,0.7383404056977353,layernorm,cosine
0.07,111,768,3,49,relu,constant,0.2,100,2.3729615807309685e-05,1.2281044721603394,0.07385125359562367,12,0.8846153846153846,4,null,64,xavier_normal,0.010761701245464328,4.645647207574083e-06,1.0977962359742466,leaf,0.796250009869945,layernorm,cosine
0.005,114,768,3,49,relu,constant,0.2,100,1.8240163606987812e-05,0.6266922354698181,0.1189416294480295,4,0.8867521367521367,4,null,128,xavier_normal,0.011330549730371915,2.6766202009017732e-06,0.7005049273513748,leaf,0.7822765250207229,layernorm,cosine
0.005,112,768,3,49,relu,constant,0.2,100,1.8344099007915503e-05,0.6325680017471313,0.056814906071527026,4,0.5299145299145299,4,null,64,xavier_normal,0.011862898809199433,4.436753897701981e-06,0.8883842357458687,leaf,0.7264593206977588,layernorm,cosine
0.005,116,768,3,49,relu,constant,0.3,100,1.941163757416626e-05,0.6535901427268982,0.19898487501265263,2,0.9305555555555556,4,null,64,xavier_normal,0.0495213910899543,1.5073414063403353e-07,0.6916260856049078,leaf,0.7838138681156109,layernorm,cosine
0.005,118,768,3,48,relu,constant,0.3,100,1.8881096174155182e-05,0.6706143617630005,0.10228576866630701,5,0.8547008547008547,4,null,64,xavier_normal,0.011412939424199976,2.5106147382037246e-06,0.619499295229406,leaf,0.7305637885162186,layernorm,cosine
0.07,120,768,3,48,relu,constant,0.3,100,3.122003762874689e-05,1.2070963382720947,0.13882001513536088,7,0.8066239316239316,4,null,64,xavier_normal,0.014864685197554,2.3697411875130927e-06,0.721873243588063,leaf,0.7791465698725087,layernorm,cosine
0.005,119,768,3,48,relu,constant,0.3,100,1.908360377082265e-05,0.6047776341438293,0.05878676294355897,3,0.6388888888888888,4,null,64,xavier_normal,0.011331870316049054,2.610817924716328e-06,0.6244633534920908,leaf,0.7230044364535021,layernorm,cosine
0.005,124,256,3,51,relu,constant,0.2,100,3.1446289229875676e-05,0.6779362559318542,0.23343255868690702,4,0.9487179487179487,4,null,64,xavier_normal,0.013699404426733723,1.1067123456125855e-05,0.6136000173904905,leaf,0.7784401597570426,layernorm,cosine
0.005,127,256,3,46,relu,halve,0.2,100,3.269124742143118e-05,0.6248060464859009,0.19956899235455172,10,0.9487179487179487,3,null,64,xavier_normal,0.010179474025383058,2.573181704761051e-06,0.6247547092357809,leaf,0.7767093368743027,layernorm,cosine
0.005,131,768,3,43,relu,halve,0.3,100,2.344556550204675e-05,0.672540545463562,0.1842237680944905,5,0.9455128205128205,3,null,64,xavier_normal,0.01124350419192676,1.6435029223934055e-06,0.6116801101029739,leaf,0.7239552290184347,layernorm,cosine
0.005,135,768,3,46,relu,constant,0.3,100,2.4582185643893957e-05,0.6887609958648682,0.11526697995033221,2,0.8771367521367521,5,null,64,xavier_uniform,0.03451197045313317,1.7099171720495594e-06,0.7499197620554642,leaf,0.7168375094277113,layernorm,cosine
0.005,133,768,3,43,relu,double,0.2,100,2.4642855679972728e-05,0.6324886083602905,0.11029029715002021,3,0.7745726495726496,5,null,64,xavier_normal,0.037529494801180174,1.965948562276726e-06,0.6484108005564865,leaf,0.7591518485633278,layernorm,cosine
0.01,138,768,3,43,relu,constant,0.3,100,2.5612658769723144e-05,0.8299300670623779,0.10905677171297973,3,0.8536324786324786,5,null,64,xavier_uniform,0.03230167954835583,1.8113162656373181e-06,0.7499480501744726,leaf,0.7492239868547332,layernorm,cosine
0.005,134,768,3,46,relu,double,0.3,100,2.4086505408374836e-05,0.6444565653800964,0.09033084325654597,4,0.7478632478632479,5,null,64,xavier_uniform,0.03229197949415222,1.8386432738812908e-06,0.5273154788675909,leaf,0.7505364204792493,layernorm,cosine
0.05,139,768,3,48,relu,constant,0.3,100,2.7003889803838076e-05,1.232828140258789,0.22261505757815192,3,0.9177350427350427,5,null,64,xavier_uniform,0.0334829681030533,1.9335197797653354e-06,0.5352793076977514,leaf,0.7502127379495973,layernorm,cosine
0.01,137,768,3,44,relu,double,0.2,100,2.5282485146789217e-05,0.756598949432373,0.17908228415260252,2,0.9102564102564102,5,null,64,xavier_uniform,0.0729747339762494,1.651723000646009e-06,0.5371888569237538,leaf,0.7421835781492797,layernorm,cosine
0.01,142,768,3,40,relu,double,0.3,100,2.1328234845345685e-05,0.8262145519256592,0.2194552836684204,2,0.9284188034188035,5,null,64,xavier_uniform,0.07382906151640309,1.8212667602242303e-06,0.6665744710101782,leaf,0.7462349653016155,layernorm,cosine
