cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm
0.05,147,768,3,45,leaky_relu,constant,0.5,150,0.0003575472527108973,0.7652518153190613,0.08060428155747255,10,0.9186046511627907,0.05778292078213515,2.8031800919755364e-07,0.6679851938394338,leaf,0.20601484246512988,batchnorm
0.05,149,768,3,37,leaky_relu,constant,0.5,150,0.00026610076411874426,0.7195489406585693,0.3381672786988354,5,0.22674418604651161,0.023951273275552177,2.744361238315949e-05,1.9996309887786854,eom,0.22009682929470742,batchnorm
0.05,151,768,3,46,leaky_relu,halve,0.5,150,0.00012877610688325237,0.7885882258415222,0.023105757093719956,13,0.7344961240310077,0.011382065839309216,9.346802468238795e-08,0.589353039374744,leaf,0.27531062239081344,batchnorm
0.05,152,768,3,50,leaky_relu,halve,0.5,150,8.504941893450885e-05,0.89171302318573,0.1015317860195151,7,0.622093023255814,0.04422425790639796,8.670358180855304e-08,0.5764894832809763,leaf,0.22414181825333662,batchnorm
0.05,153,768,3,48,leaky_relu,halve,0.5,150,6.76106483014697e-05,0.796576201915741,0.11944054952859302,10,0.6908914728682171,0.022666417126753886,6.045553347765844e-08,0.5354140668244802,leaf,0.3471747343567663,batchnorm
0.05,154,768,3,47,leaky_relu,halve,0.5,150,9.414028050498051e-05,0.7930296063423157,0.019008723079500366,11,0.6511627906976745,0.011378630055458628,1.1737401385666719e-07,0.6032589258973224,leaf,0.2687143839884486,batchnorm
0.05,155,768,3,45,leaky_relu,halve,0.5,150,7.170844539919249e-05,0.9218605160713196,0.052156548025085916,7,0.8924418604651163,0.06508617478869769,3.120432805729163e-08,0.6755720816875392,leaf,0.2872868245934456,batchnorm
0.05,156,512,3,51,leaky_relu,constant,0.5,80,0.00033069327283047253,0.76377272605896,0.029201193917045357,8,0.813953488372093,0.03798214724873769,5.934826014479289e-08,1.2196558729218507,leaf,0.3611115990174557,batchnorm
0.07,157,768,3,42,leaky_relu,halve,0.5,150,5.70258301077628e-05,0.8247758150100708,0.11470956947988566,2,0.9408914728682171,0.055700362445415263,4.5459240954583285e-05,0.5557157681906595,leaf,0.30959172019511455,batchnorm
0.05,158,768,3,44,leaky_relu,halve,0.5,100,0.0003743923716806809,0.9418260455131531,0.035371821693489444,9,0.7771317829457365,0.02550047953852744,2.0753499248114657e-07,0.6295680910988862,leaf,0.36787225788242706,batchnorm
0.05,159,768,3,50,leaky_relu,constant,0.5,150,0.0004669425289202289,0.4778093695640564,0.2074813853018699,2,0.936046511627907,0.0750908431802797,1.5518204963167203e-05,0.500782024830507,leaf,0.2899362404867815,none
0.1,160,768,3,48,leaky_relu,halve,0.0,150,0.00010831093502428749,0.8542201519012451,0.02148231708519784,14,0.7025193798449613,0.011733311981480699,2.016191512482871e-05,0.5978681305755811,leaf,0.3254326483723775,batchnorm
0.03,161,768,3,49,leaky_relu,halve,0.3,150,0.0006626513646007965,0.5267289280891418,0.06816016897123152,8,0.750968992248062,0.04028069665641855,2.398987119833878e-06,0.533942039050199,leaf,0.555990773473217,batchnorm
0.07,162,768,3,46,leaky_relu,halve,0.3,150,0.0005930106827908625,0.718878448009491,0.005170725974089118,15,0.7102713178294574,0.029482101316664344,3.1034158089240756e-06,0.524859871212466,leaf,0.3393126909683354,batchnorm
0.07,163,768,3,46,leaky_relu,halve,0.3,150,0.00048694241870841026,0.835241436958313,0.018294533953167588,20,0.748062015503876,0.028136460843621036,2.48942302001709e-05,0.5622991875280463,leaf,0.3479608604004196,batchnorm
0.07,164,768,3,45,leaky_relu,halve,0.1,150,0.0005787724307610747,0.6840198040008545,0.010725766259776372,12,0.8352713178294574,0.04842638859019484,3.44942943370179e-05,0.5276360128161979,leaf,0.3824647699661585,batchnorm
0.07,166,512,3,40,leaky_relu,constant,0.1,150,0.000438177305163482,0.6804436445236206,0.0019144821042572815,16,0.7916666666666666,0.04279379365109595,3.833326687000818e-05,0.5291163970881465,leaf,0.34038112820922534,batchnorm
0.07,167,512,3,40,leaky_relu,halve,0.1,150,0.0004236631728838252,0.6771617531776428,0.06533816412943,8,0.8517441860465116,0.07325657974217274,3.631269424262411e-05,0.5239752566601572,leaf,0.336465899930664,batchnorm
0.07,168,512,3,41,leaky_relu,constant,0.1,100,0.00045491574851287876,1.055593729019165,0.03450455382165133,12,0.7722868217054264,0.05138823514316647,5.326970601076169e-05,0.5049548945340065,leaf,0.3753217642391606,batchnorm
0.07,169,512,3,43,leaky_relu,halve,0.1,150,0.0005241119185605745,0.8525416851043701,0.03279669259322455,18,0.7810077519379846,0.02935354898947432,3.099752548178047e-05,0.5653568002808244,leaf,0.31448850414653423,batchnorm
