"","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Akkermansia","Alistipes","Allisonella","Allobaculum","Anaerococcus","Anaerofilum","Anaerorhabdus","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovorax","Atopobium","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Bulleidia","Butyricicoccus","Butyricimonas","Caldimonas","Caloramator","Campylobacter","Catenibacterium","Citrobacter","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Corynebacterium","Cronobacter","Denitrobacterium","Desulfotomaculum","Desulfovibrio","Dialister","Dietzia","Dorea","Eggerthella","Enterobacter","Enterococcus","Enterorhabdus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Flavonifractor","Fusobacterium","Gardnerella","Gemella","Gemmiger","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Halomonas","Hespellia","Holdemania","Howardella","Klebsiella","Kluyvera","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leuconostoc","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Murdochiella","Mycoplasma","Negativicoccus","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Pantoea","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Porphyromonas","Prevotella","Propionibacterium","Proteus","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhodococcus","Robinsoniella","Roseburia","Rothia","Ruminococcus","Saccharofermentans","Salmonella","Selenomonas","Shewanella","Slackia","Sneathia","Solobacterium","Sphingomonas","Sporanaerobacter","Sporobacter","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","TM7_genera_incertae_sedis","Tepidimicrobium","Tindallia","Tissierella","Turicibacter","Unassigned","Vampirovibrio","Varibaculum","Veillonella","Victivallis","Weissella","Zimmermannella"
"rgn.7.14",2,0,0,10,2,0,0,0,3,33,0,0,0,5,0,90,33,18,0,5,0,29,1,3,7,1,0,0,63,0,0,7,0,2,1,35,0,1,1,0,0,21,27,2,0,0,2,225,6,13,0,0,0,0,0,0,3,0,66,28,35,67,0,87,1,0,13,0,0,124,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,250,25,3,2,86,0,5,0,49,0,0,10,0,1,0,40,68,294,149,0,253,774,0,0,0,0,0,0,0,1,45,1,15,11,0,0,0,0,55,0,0,0,1,0,0,15,0,0,1,0,416,0,4,0,268,6,18,0,0,0,1
"rgn.7.15",6,0,0,1,0,1,9,0,1,123,0,0,2,2,0,147,5,76,7,0,2,22,20,2,5,0,0,1,86,0,0,4,0,10,1,61,1,34,3,0,0,24,213,1,0,0,0,75,14,11,0,0,0,0,0,0,7,0,56,159,7,78,0,100,1,0,32,0,0,89,6,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,18,36,1,209,1,9,0,0,0,0,24,0,0,3,2,1,10,12,20,317,47,0,433,332,1,0,0,1,0,0,0,3,21,0,101,120,0,0,0,0,0,1,0,0,5,0,0,2,4,0,0,0,305,0,2,3,406,0,0,0,0,0,3
"rgn.7.18",6,0,0,10,0,0,1,0,0,47,0,0,1,8,1,39,0,10,33,1,4,190,3,0,24,0,5,10,190,31,0,77,16,40,0,123,2,30,14,0,1,63,194,2,2,1,2,74,3,38,0,0,0,3,0,0,18,2,56,218,1,30,0,0,0,0,41,0,0,45,5,4,0,0,3,0,0,2,0,0,6,5,0,0,1,4,0,0,0,0,0,0,22,4,2,134,0,6,0,1,0,0,83,0,2,10,0,0,1,0,4,87,2,4,90,833,0,0,2,2,0,0,0,1,164,0,119,5,0,0,0,0,0,1,0,1,19,2,0,65,2,1,0,0,137,0,1,5,421,0,0,9,0,0,5
"rgn.7.19",0,0,0,0,0,0,1,3,10,313,0,0,0,2,0,15,4,3,0,1,0,53,0,0,8,0,3,1,147,3,0,1,1,9,1,32,0,6,3,0,0,24,90,0,0,0,1,191,4,27,0,5,0,0,0,0,1,0,27,106,4,111,0,5,1,0,14,0,0,107,5,5,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,8,13,0,0,113,0,2,18,0,0,0,19,0,0,1,0,0,0,0,32,271,45,0,137,1295,2,0,2,0,0,0,0,0,102,1,27,0,0,0,0,0,8,0,0,0,3,0,0,9,0,20,2,0,309,1,4,1,194,0,1,1,0,0,0
"rgn.7.2",0,5,0,2,0,0,1,1,16,86,0,0,0,0,0,62,1,92,5,0,1,43,0,0,4,0,0,1,39,7,0,0,0,5,0,47,0,0,11,0,0,18,13,2,0,0,0,58,3,17,0,0,0,0,0,0,25,0,29,92,15,132,1,36,2,0,45,0,0,70,4,4,0,0,1,0,1,0,0,0,0,0,0,0,2,0,77,34,0,0,0,0,11,2,97,1,3,0,0,0,0,0,14,0,0,6,1,0,0,25,2,406,113,11,91,1444,3,0,5,0,0,1,0,0,99,1,42,0,0,0,0,0,20,0,0,1,0,3,0,5,6,0,21,0,270,0,0,1,179,0,0,0,0,1,0
"rgn.7.3",0,0,1,0,0,0,0,9,8,31,0,0,0,15,0,15,8,56,0,10,0,32,0,0,7,0,0,0,0,2,0,18,1,0,6,64,0,0,25,0,0,12,102,0,0,0,0,134,2,28,0,0,0,0,0,0,0,0,4,190,0,231,0,0,0,0,0,0,0,0,23,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,7,0,0,3,1,0,23,0,0,217,0,61,55,2185,0,0,0,0,0,0,0,0,93,0,2,0,0,0,0,0,1,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0,247,0,0,0,0,1,2
"rgn.7.4",2,0,4,84,0,3,1,1,19,19,0,0,0,18,0,5,2,25,0,125,2,71,1,0,5,0,6,2,20,7,0,6,0,4,0,52,0,3,21,0,0,31,7,1,1,0,0,48,2,51,0,0,0,1,0,0,25,0,16,240,11,161,0,374,4,24,12,0,0,2,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,2,28,2,0,3,0,4,0,52,0,19,0,21,0,0,0,0,0,0,116,2,72,93,0,11,1415,11,0,4,2,0,0,4,0,98,0,27,0,0,0,0,1,70,4,0,0,3,2,0,0,1,0,14,0,7,0,1,0,163,2,4,1,0,0,0
"rgn.7.5",0,0,3,12,0,0,3,0,0,46,0,0,1,13,0,2,0,88,0,1,3,128,2,0,7,0,0,0,37,0,0,17,0,0,17,76,4,2,29,0,0,27,243,0,0,0,0,71,5,32,0,0,0,2,0,0,63,0,9,266,0,325,0,4,0,1,26,0,0,1,74,48,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,39,0,0,3,0,0,2,53,0,76,74,99,3,1131,3,0,0,0,4,0,0,0,94,1,78,0,0,0,0,0,0,0,0,2,0,43,0,229,0,0,1,0,0,0,0,0,69,39,0,232,0,0,0
"rgn.7.6",3,0,0,0,0,0,0,1,5,9,0,0,0,3,1,0,9,16,1,0,4,53,2,0,6,1,6,4,19,1,0,15,1,4,1,92,3,14,16,0,0,70,132,0,0,0,4,32,0,34,0,0,0,2,0,2,2,1,23,208,3,23,0,10,59,4,35,0,0,5,6,4,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,16,0,0,2,0,0,0,1,1,10,2,12,6,2222,1,0,2,1,0,0,0,0,152,0,50,1,0,0,0,2,226,0,0,0,4,0,0,45,0,0,0,0,7,0,0,0,228,0,0,0,0,0,4
"rgn.7.7",10,0,2,13,0,0,1,3,39,16,0,0,1,10,1,7,0,128,0,71,0,134,0,0,16,0,8,0,0,197,0,15,1,13,2,128,3,5,87,0,0,79,44,0,2,0,3,2,0,47,0,1,0,4,0,0,103,0,23,229,0,50,0,4,4,7,36,1,0,8,75,6,0,0,2,0,0,3,0,0,76,0,0,0,0,0,0,0,0,0,3,76,0,0,0,0,0,0,0,1,3,0,63,0,0,7,0,0,1,0,0,11,6,40,0,1101,10,0,0,4,0,0,1,0,88,0,166,0,0,0,0,2,78,7,0,1,8,3,0,62,1,0,0,0,0,0,0,2,420,4,0,101,0,0,0
