,Acetanaerobacterium,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Allisonella,Allobaculum,Anaerococcus,Anaerofilum,Anaerorhabdus,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Atopobium,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Brevibacterium,Bulleidia,Butyricicoccus,Butyricimonas,Caldimonas,Caloramator,Campylobacter,Catenibacterium,Citrobacter,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Comamonas,Coprobacillus,Coprococcus,Corynebacterium,Cronobacter,Denitrobacterium,Desulfotomaculum,Desulfovibrio,Dialister,Dietzia,Dorea,Eggerthella,Enterobacter,Enterococcus,Enterorhabdus,Erwinia,Erysipelothrix,EscherichiaShigella,Ethanoligenens,Eubacterium,Faecalibacterium,Filifactor,Finegoldia,Flavonifractor,Fusobacterium,Gardnerella,Gemella,Gemmiger,Geosporobacter,Gordonibacter,Gracilibacter,Granulicatella,Haemophilus,Hafnia,Halomonas,Hespellia,Holdemania,Howardella,Klebsiella,Kluyvera,Lachnobacterium,Lactobacillus,Lactococcus,Lactonifactor,Leuconostoc,Lutispora,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methylobacterium,Micrococcus,Mitsuokella,Mobiluncus,Mogibacterium,Moryella,Murdochiella,Mycoplasma,Negativicoccus,Neisseria,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Pantoea,Papillibacter,Parabacteroides,Paraprevotella,Parasporobacterium,Parasutterella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Proteus,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Pyramidobacter,Rhodococcus,Robinsoniella,Roseburia,Rothia,Ruminococcus,Saccharofermentans,Salmonella,Selenomonas,Shewanella,Slackia,Sneathia,Solobacterium,Sphingomonas,Sporanaerobacter,Sporobacter,Staphylococcus,Stenotrophomonas,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,TM7_genera_incertae_sedis,Tepidimicrobium,Tindallia,Tissierella,Turicibacter,Unassigned,Vampirovibrio,Varibaculum,Veillonella,Victivallis,Weissella,Zimmermannella
CNTRL20,0.0039227256,150740470000000.0,2.0783267,0.0069753164,0.0014551965,13437438.0,0.008808104,2104960.5,0.010453332,0.11522601,218295960000.0,1788298800000.0,0.0036140713,0.014047258,0.0003454013,0.029538646,0.08814134,0.30286396,26.5572,0.04193713,0.0021052405,0.05627398,0.0036108736,0.00014587228,0.03468391,46693.95,0.0015133074,0.001376098,0.060217034,0.039745856,0.002127813,0.0071000783,0.0030212707,0.12932245,1.0951588,0.039886877,0.0015305831,0.017982554,0.011581162,153804340000000.0,158293350000000.0,0.015772605,0.016539434,40.23207,52.150284,188562320000000.0,0.0018545978,0.13430218,0.002547707,0.022109311,0.0009201771,0.054424062,127507144.0,0.000513222,inf,0.10734761,0.07825862,2463284.0,0.01942594,0.12219475,0.0404777,0.028677851,13685.838,0.9665997,0.0010992839,15276551.0,0.65319586,2.9367565e+24,2.8557183e+24,0.053974565,0.08921508,0.009827837,93109.1,25173956.0,3.682151,0.0008358582,0.00034091133,51.33929,1261676700000000.0,100036910000000.0,0.0898377,9570674000000.0,9.9269826e-05,3.7440586e-05,0.002893503,0.00041388636,1.3478308e+21,0.022794345,inf,inf,5.0365264e+17,4.059687e+16,0.004746895,0.0014030264,0.05760698,0.062506,0.0010029215,0.001267447,0.0024704365,0.0050840382,0.0040176963,190732140000.0,0.01840032,0.00058114686,4.755423,0.0023887916,1766.3364,0.0008703615,0.0017148553,0.022524854,0.004432833,0.2593804,0.20844112,50.668663,3.85657,2.1756654,1.14600365e+32,0.017826464,0.005108247,0.00039827306,10354359000.0,3141116.5,0.003597499,0.00016445112,2.41601,21780263000.0,0.1084999,0.010108923,1292.8406,0.00076362904,305.0337,0.00041900072,4175.5356,0.5261539,inf,0.0002871897,0.0031127536,0.002595395,1.7487471e+37,0.009209849,1.2049229e+27,0.35875037,0.0026750127,243.45142,0.1293799,9.846524e-05,0.00016004367,11.754287,0.083111435,0.0018246036,0.0015112308,0.0128967175,0.00021501177,9066458000000000.0,0.00048091123
CNTRL23,0.006658193,9252003000.0,101.9152,0.0147322295,0.0005716746,2542111200.0,0.008280855,17516324.0,0.0066817882,0.08301403,56879628.0,36918132.0,0.0021580933,0.013104703,0.00042795957,0.024224732,0.0657632,0.29370496,1.6920406,0.08562304,0.01128175,0.04999958,0.005946471,0.00016334288,0.052642047,7.7737665,0.0011708348,0.0009878323,0.0956876,0.06645296,0.0012898572,0.008031007,0.0046289763,0.21314543,1.9643291,0.039016273,0.001421658,0.015880192,0.008092295,1053190000000000.0,1.6730421e+22,0.036595196,0.0568194,65.51627,4.0630717,7698030600.0,0.0021304064,0.07966993,0.002465897,0.023596363,0.0009976152,0.016019091,17574.521,0.0013553738,inf,1.0960747,0.030811131,7462209.5,0.022680352,0.2960867,0.056855492,0.06438713,1062.5881,0.3522998,0.00091808476,148486.33,0.4273339,7.70573e+35,2.500268e+25,0.19660802,0.053624928,0.010941823,59071.59,671610600000.0,26.878614,0.0005870081,0.0003770239,53.423145,723685950.0,3.6594947e+16,0.046040982,3058749.2,0.0001525038,4.3949607e-05,0.0019811394,0.0002914179,1337954800.0,0.008740948,inf,inf,1.3724115e+23,576435500000000.0,0.0058531826,0.0065200017,0.049911063,0.030760467,0.0006726326,0.0011831962,0.0023623228,0.0024472587,0.006613845,467427460000000.0,0.0154714435,0.002587113,31.744879,0.004813423,721.00195,0.00090800336,0.00073881884,0.0072868452,0.0048545282,0.33661687,0.30218896,22.371916,103.281395,2.5086036,4.989198e+24,0.025033882,0.0053465404,0.00041390283,40783770000000.0,3022109.5,0.004388939,0.00019422882,2.449587,49347786000000.0,0.1262683,0.66359246,3.7095606,0.0010808068,6.605078,0.00045988915,1475.1063,3.8702548,inf,0.00028988274,0.0034298638,0.0124406135,7.2770523e+18,0.010640436,1.3466086e+26,0.15390897,0.0023026017,821.1268,0.15804529,0.00013749099,0.00018973208,122.20909,0.09342729,0.0025182534,0.0012720588,0.0127997855,0.00019383316,3.7553684e+20,0.00044281216
CNTRL300,0.005324142,2944129800000000.0,23.485832,0.0046331957,0.0010206505,3362890000.0,0.0063286987,12380344.0,0.00399436,0.05110951,547706560.0,43563384000000.0,0.0020206561,0.007142416,0.00024515885,0.020522868,0.11387208,0.05421176,61.440037,0.04389742,0.0012250313,0.045344066,0.000715657,0.00010519953,0.022066718,67790.74,0.0010400773,0.000726888,0.03992217,0.027270958,0.001443936,0.006354292,0.002838342,0.0714199,0.90281045,0.02726665,0.0012339865,0.007818746,0.0078110998,935591500000000.0,141954420000000.0,0.01629652,0.023856856,6.447944,54529.473,729222100000.0,0.0012379028,0.11119062,0.003855654,0.01970917,0.00027424062,0.009972067,8183255.5,0.0005205549,inf,0.53018326,0.02548591,4158624.8,0.015273746,0.14572349,0.03465284,0.021630384,8394.733,1.0430251,0.0005340919,329284640.0,0.24807712,7.580219e+23,3.9492754e+25,0.027412804,0.038929116,0.0045300405,225086.05,4893990000.0,9.42548,0.0004617578,0.00025735176,122.29756,4.7516245e+20,7.691561e+16,0.11937127,23991270000000.0,5.2511747e-05,2.0837851e-05,0.002908649,0.00022057438,1.2762398e+19,0.037806682,inf,inf,4.754419e+25,1892924900000.0,0.004177508,0.0008717722,0.010473637,0.034647796,0.0008711071,0.0007667152,0.001963887,0.0015540728,0.004918122,495178680000.0,0.009196216,0.00069848116,13.661202,0.0025538541,68.56586,0.0005141378,0.00053691864,0.011021269,0.0024040102,0.24301673,0.08594117,31.616947,1.6626351,0.91140133,3.3441817e+24,0.010719313,0.0014077864,0.00034471886,9113931000000.0,152492320.0,0.013195662,0.00013380256,0.45279482,164529950.0,0.061608564,0.0090016555,23069.307,0.0005535572,99.209274,0.0002016699,723.64624,6.680703,inf,0.00020533048,0.0022384862,0.001115153,1.5845354e+30,0.0070810337,1.0757454e+25,0.32924592,0.0013331105,81332.89,0.121755905,6.498121e-05,0.00012104186,3.5999,0.057983052,0.0011129797,0.0012368608,0.009650764,0.00018861698,1.6675326e+16,0.00043054717
CNTRL48,0.0023656597,24543550000000.0,1191.6693,0.009055045,0.0008857222,10473350.0,0.017361173,9613093000.0,0.0057778284,0.03765439,2501465300.0,1055255760000.0,0.0020548985,0.027949147,0.0005008042,0.03358841,0.071952246,0.38031682,79.625435,0.055269267,0.0066090412,0.04884164,0.011821016,0.000114863244,0.037838787,18.466185,0.0011571156,0.0010034331,0.060428057,0.07788256,0.0014495227,0.013049902,0.004123767,0.029994236,2.5223327,0.037133664,0.0021643294,0.008522329,0.011328144,137806190.0,1.803473e+26,0.012073213,0.03491914,803.7966,340.51514,34022028.0,0.002606461,0.24183613,0.0038883383,0.01944959,0.00080330385,0.007955316,168.11348,0.0013902388,inf,12.775078,0.057978295,314492.75,0.03316519,0.15484793,0.04362442,0.05398877,996.85205,0.2322359,0.0009734754,26235168.0,0.4644323,inf,9.382269e+35,0.07338626,0.03085946,0.0075773946,9985.227,302317170000.0,2986.794,0.00029218537,0.0003410906,16.440989,6.5719803e+16,1.2729857e+18,0.07463008,3010198800.0,5.639304e-05,2.2589726e-05,0.0017851145,0.00034294516,8245014000000.0,0.054251127,inf,inf,3.091224e+29,2308203700000000.0,0.0050173355,0.0013379632,0.012354728,0.083406754,0.0007877851,0.001003586,0.0027490929,0.0015885757,0.013619053,148637140000000.0,0.011018968,0.0022085712,40.030537,0.0030835427,9.673844,0.00084633176,0.001741714,0.012806359,0.005139059,0.27515772,0.070848554,1021.4163,0.90648097,3.3267944,inf,0.007027846,0.001387607,0.0003525532,676121700000.0,785143.75,0.015945807,0.00010772535,1.317798,73180720000000.0,0.08478188,0.019511547,39.70108,0.00061050715,281.1863,0.00030122374,178.57494,1.0313131,inf,0.000219968,0.002586896,0.0035389273,2.5880532e+21,0.008404488,7.35294e+25,0.21906054,0.0038663966,51780.234,0.17991634,9.625852e-05,0.00012520357,663.4585,0.09973682,0.0015423797,0.0012274354,0.009433546,0.00015201188,2.8998966e+17,0.0004995883
CNTRL52,0.0047929212,432803900000000.0,290.26785,0.010781254,0.0012811769,567172800000.0,0.004457382,84096060000.0,0.009361005,0.12867162,240212060.0,1.4619369e+18,0.0020903235,0.02206703,0.0001853976,0.037899453,0.08985603,0.23348646,8.302393,0.081472926,0.0017875455,0.04688711,0.0018820763,0.00010049872,0.048610125,211907.69,0.0011257114,0.0012202639,0.058067232,0.011369466,0.0014933533,0.009782756,0.005258211,0.03823464,1.143766,0.03258555,0.00206721,0.007879031,0.0055166464,1427043800000000.0,1.1020696e+19,0.01599615,0.028715713,23.794512,27.238201,577090160000.0,0.0011761314,0.11684152,0.0021999236,0.016867736,0.00065733364,0.109023504,2362054.0,0.0005380305,inf,5.4098673,0.042525027,22741638.0,0.01851648,0.19773476,0.0661424,0.034992896,29286.97,1.0909166,0.00082439266,17111.787,0.7925106,inf,2.4463035e+33,0.03206345,0.08238441,0.0044648293,25469108.0,1503849500.0,79.91424,0.00024399205,0.00022158657,28.00792,1.0231855e+16,4.4498945e+16,0.09999064,4.5296248e+18,0.00010396384,2.0344729e-05,0.0028327226,0.0002854661,7.862074e+24,0.22492488,inf,inf,3.6760982e+29,158605260000.0,0.00452789,0.0007944373,0.0065727104,0.10686201,0.0005759481,0.0008837579,0.0018899303,0.0047348654,0.004470899,51152788000000.0,0.012753907,0.00091071357,17.208393,0.0017423572,14.298395,0.00046353723,0.001480724,0.02258532,0.0025286924,0.23018672,0.050980054,10272.877,0.29866993,2.4021034,inf,0.009318913,0.0049843113,0.00029820763,139766150000000.0,25592822.0,0.01101111,0.00012457368,1.0179859,1.966853e+16,0.058103114,0.011810124,7995.0244,0.000539649,303.4287,0.00031072777,150257.45,13.029638,inf,0.00017732827,0.002724045,0.0013861603,3.876575e+25,0.00755422,6.8491917e+27,0.49979523,0.0017478144,1253.3564,0.15793067,5.528658e-05,0.00011252439,4.2366,0.077774614,0.0013415904,0.0012308896,0.008221594,0.00014581851,2.8118795e+23,0.0003276378
CNTRL82,0.0051867994,1209093000000000.0,5.5176897,0.0044008973,0.0011737038,1072936260.0,0.026761971,349493.4,0.0043837437,0.03578504,516643400000.0,1064984600000000.0,0.0015077473,0.022547685,0.00019550897,0.043611657,0.12773663,0.18617949,835.20874,0.022156507,0.0015286811,0.035348374,0.0009779051,9.594671e-05,0.018724037,19438.27,0.0009950161,0.0007459143,0.043632958,0.008619995,0.0018045513,0.0077690035,0.003353038,0.046471518,2.355488,0.05095357,0.0016487587,0.005705271,0.005764179,1.8114907e+16,3.5545682e+16,0.012691728,0.03339876,129.7201,644.1698,938864540000.0,0.0008220886,0.12995365,0.0054632537,0.025138233,0.0003786045,0.011118412,629.6642,0.00065017556,inf,1.5619042,0.029225605,20270052.0,0.014459183,0.1893154,0.09849326,0.024550144,2225.689,1.0967082,0.00049413036,669099100.0,0.11069668,3.6852618e+33,3.4930452e+30,0.019026304,0.04048763,0.004631164,336760670.0,49445376000.0,57.384506,0.0002320701,0.00023259621,2.4241455,8.3470863e+30,8.088384e+17,0.081284665,521446780000000.0,6.2427986e-05,2.21062e-05,0.0019158543,0.00023751764,9.2762e+16,0.29576033,inf,inf,4.696594e+30,824990700000000.0,0.0041929046,0.00062804413,0.01860002,0.05328877,0.0006965855,0.0006917255,0.0014237849,0.0017217571,0.0061229086,450932640000000.0,0.009735249,0.0016088096,3.3713007,0.0016463819,115.25376,0.00046938716,0.0006605728,0.06283487,0.0030736686,0.29074195,0.062032223,137.99226,3.0050337,1.3165846,3.1987458e+32,0.0025137353,0.0017085861,0.00030290155,14610460000.0,37988585000.0,0.011400267,0.00011410788,0.56707984,157058150000.0,0.034985192,0.015204624,111903.336,0.00072423485,122.66071,0.00023058394,932.35016,4.863021,inf,0.00019628686,0.002161565,0.001386983,8.0401425e+28,0.007869287,2.2309058e+22,0.06280822,0.0025115234,3263831.0,0.15386803,5.5775203e-05,0.00010166903,0.74834025,0.058472753,0.0009964595,0.0010285192,0.009233551,0.00021375233,1.0804077e+20,0.0003121072
CNTRL89,0.0024578213,272503310000000.0,3.0192,0.011591843,0.0016924548,853180.8,0.0031768333,413065.0,0.015668742,0.050623707,8200329000.0,1.7277143e+24,0.0018521644,0.009640194,0.00018432034,0.03893192,0.14970091,0.091353886,798.16516,0.04708515,0.0016663462,0.048632685,0.0011009891,0.00012643803,0.031766344,717396.1,0.0010114348,0.0012564019,0.049564853,0.013878906,0.002121446,0.009463868,0.009496031,0.07517164,2.3944237,0.038197145,0.0016310968,0.011638702,0.0064512407,2484783600.0,3.3419608e+19,0.015789822,0.043978255,73.9059,33.237537,39068688000000.0,0.0011798195,0.13342023,0.0039033976,0.02319613,0.0005642707,0.08206521,64025.688,0.0010565745,inf,1.182439,0.029394032,650055.1,0.018843893,0.2281039,0.14516781,0.035980247,9598.554,2.3847663,0.00097630435,1748.3395,0.29544604,inf,7.9393664e+31,0.015586404,0.18885945,0.003985572,1570821.4,31510934000.0,2.167017,0.00030577093,0.00022995762,10.326342,3.396196e+19,5100034000000.0,0.15508787,9.063103e+24,0.0001269725,4.2540276e-05,0.005014133,0.00031605884,1.117204e+21,0.13926941,1.1536173e+31,inf,inf,15220024.0,0.005962732,0.0011872214,0.004422342,0.019680792,0.0005894809,0.0007671546,0.0016787954,0.0045301607,0.017848248,1.8870851e+16,0.015860725,0.0018674348,17.042526,0.001560811,37.62843,0.00049902184,0.00081666413,0.08683847,0.0036003871,0.32269207,0.037911016,312.4849,0.34733212,4.0582275,3.2725243e+32,0.008676305,0.0030227995,0.00033414245,6115134000000000.0,221689980.0,0.069325134,0.00014989886,0.55857426,210115620000000.0,0.07574148,0.009730758,6323.2905,0.0008969254,12.297321,0.00030761503,671.4852,13.754875,inf,0.00026115266,0.0029414075,0.0025258814,3.1799698e+29,0.01029857,9.608666e+29,0.10359491,0.00291052,1915.5575,0.18419637,5.578065e-05,0.00011995571,1.5097544,0.08541222,0.0014265885,0.0013763625,0.03117988,0.0001469436,2.254656e+23,0.00041377317
CNTRLA1,0.0028827016,2.2128352e+20,1.1141754,0.0039949585,0.0013248732,229210390000.0,0.0060967407,6839111.5,0.001792838,0.037686598,24928936.0,4.744387e+18,0.0016835643,0.010363488,0.00019529765,0.019745091,0.028896345,0.044791877,1677.4246,0.03804441,0.00153501,0.04245326,0.0029875063,9.680882e-05,0.019191187,2127290.5,0.00088853465,0.00080286455,0.04525392,0.019736454,0.0016273374,0.0052021965,0.0046029915,0.06531816,1.0628839,0.030609027,0.0009888599,0.009524514,0.009948977,31755086000.0,3.3465805e+22,0.018610809,0.020591453,72.260124,578.90826,5406592600000.0,0.0010327226,0.1571673,0.003147858,0.014921601,0.0002693701,0.024797015,12145.196,0.00037792316,inf,20.08514,0.020248387,24088828.0,0.015527536,0.16463967,0.019720685,0.029067025,23458.658,1.2226883,0.00086202094,236067890.0,0.50355273,inf,1.4215076e+30,0.024151899,0.046175957,0.004440873,90610.29,110370680000.0,10.030549,0.00042560804,0.00022545928,85.26667,5.9673856e+17,2.0471572e+18,0.08134206,29128835000000.0,6.642026e-05,1.4700031e-05,0.0023337512,0.00028277485,1.1986935e+24,0.06258904,inf,inf,1.2072126e+26,14507051000.0,0.00463885,0.0012588328,0.00820001,0.029610027,0.00065814034,0.00069477025,0.0018569967,0.0028979466,0.00720121,8.1188634e+16,0.007770114,0.00053297594,22.976328,0.0018169668,7.451968,0.0003673925,0.0010362423,0.0140879275,0.002754399,0.29959002,0.07707976,755.90857,0.6589616,1.6822728,1.3219328e+35,0.0043682773,0.0015956849,0.00029411583,70830210000000.0,1519222500.0,0.013908948,8.801878e-05,0.39407054,2468104000.0,0.046413936,0.008448509,77476.516,0.0007927741,118.52961,0.00020636954,870.30035,1.3334075,inf,0.00018266005,0.0020973687,0.00075634755,inf,0.00912369,1.0517608e+35,0.5888119,0.001403271,257.439,0.17696813,7.003418e-05,9.6377975e-05,3.188241,0.06736072,0.0010759247,0.001088429,0.010719963,0.00012933048,9.352537e+26,0.000395211
CNTRLA10,0.002674329,142864700000000.0,19.47904,0.0102688745,0.0007882631,87178740.0,0.0039599747,1548636800.0,0.008593407,0.022455724,7300369.5,6828014600.0,0.0018194949,0.00989974,0.00028111786,0.020953005,0.220886,0.09194312,64.09465,0.14674513,0.0013713274,0.04470983,0.001202124,0.00012533998,0.025203833,8938.002,0.0011030893,0.00088195544,0.057185575,0.031579435,0.0025127786,0.009469561,0.0032411371,0.052447047,8.086634,0.033376355,0.0013935292,0.015004294,0.010902149,42303304000.0,4.114599e+20,0.017670177,0.049855337,18.59824,542099.2,15967890000.0,0.0019682625,0.1937086,0.004725716,0.029082248,0.00042762354,0.025292438,7071.769,0.0007528224,inf,0.12469272,0.02192342,1682596.0,0.023594862,0.24356681,0.06758669,0.035095587,155.94295,0.5251326,0.00050751126,3898663.0,0.2503014,8.084077e+24,1.2391155e+34,0.03635137,0.052037362,0.0036599662,1642916.4,18152028000.0,26.57924,0.00036600456,0.000268547,6.880515,7.645896e+22,1093481600000000.0,0.21662647,17221861000.0,5.25166e-05,3.2433472e-05,0.0029823605,0.00028284357,5462142000000000.0,0.0242116,inf,inf,5.9502943e+29,1504389500000.0,0.005068909,0.0016312127,0.034337096,0.029723234,0.0008803753,0.0008246832,0.002303977,0.0030515087,0.0052767205,194386120000.0,0.009511722,0.0013316029,2.867718,0.002627422,10.90912,0.0005903461,0.00055207696,0.017367367,0.0036113572,0.39289513,0.04123296,114.811646,0.22179042,1.8724719,1.9768189e+27,0.006536536,0.0018610277,0.00039881573,2737467500000000.0,18322144.0,0.009799025,0.00013612187,0.39525655,34638647000.0,0.11981658,0.012657967,22986.633,0.0005874914,43.29136,0.00022478182,334.04626,31.755104,inf,0.00020587405,0.002342776,0.0016026349,1.3641491e+29,0.006277605,4.7408937e+26,0.81100297,0.002338819,3616627.8,0.22604156,6.3839405e-05,0.00013811956,22.213118,0.08523177,0.0012851729,0.0012519787,0.015266777,0.00014758653,1819685000000000.0,0.00045763372
CNTRLA11,0.0025912814,1.470228e+16,11.180977,0.004967628,0.0019693708,552871800000.0,0.0041472916,5177276.0,0.010822169,0.059230868,174684860000.0,3.5426756e+17,0.0021986112,0.015330564,0.00018225335,0.026323179,0.10820704,0.3429169,14.614917,0.068247706,0.0018447395,0.046430502,0.0010528694,0.00010634694,0.03801907,10517869.0,0.0010995344,0.0010623336,0.05114358,0.022325188,0.0011983591,0.009840814,0.0032716352,0.02486758,0.8263586,0.035700217,0.0014252461,0.009711726,0.0073454604,41966113000000.0,862556000000000.0,0.018032828,0.021268621,46.845596,47.473984,53984730000.0,0.0011139902,0.08140617,0.0021136273,0.016940277,0.0005607955,0.049710054,144745.16,0.0005956908,inf,1.6773587,0.035858635,4673270.0,0.016238326,0.20360367,0.05694402,0.034274675,33493.02,0.8761313,0.001022239,5804.7593,0.29094085,inf,9.264729e+31,0.03127363,0.07050414,0.005082625,176573.6,2015183900.0,5.0134077,0.00068185234,0.00025000752,35.386513,9988298000000.0,256971630000000.0,0.060511127,9.5841555e+27,0.0001147506,2.2110838e-05,0.002933139,0.0003029308,1.3662362e+20,0.19257177,inf,inf,1.733322e+36,641475740000.0,0.0046888986,0.0006456365,0.017147683,0.035997342,0.0006802864,0.0010106708,0.0017320524,0.0068566566,0.0065521197,5.83714e+16,0.01240269,0.0003781148,18.540293,0.001954916,9.91324,0.00051942444,0.0027587616,0.012727727,0.0023297423,0.25549594,0.097237095,167.9112,0.9810778,5.25855,8.514479e+31,0.028796593,0.00525159,0.00032909977,744597200000000.0,13399415.0,0.0073455567,0.000113675866,1.7046057,8903323000000.0,0.083575174,0.020126088,868.6958,0.00050523435,58.310738,0.0003562374,38356.938,6.8806667,inf,0.00018249435,0.002369819,0.0018834334,6.45206e+30,0.007897722,3.0326397e+29,0.107362084,0.0022996743,2919.5342,0.13061176,6.273446e-05,0.00011715481,8.591776,0.074075386,0.0014328287,0.001289517,0.011707192,0.000120821205,2.3020363e+31,0.00037203144
