cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.03,29,768,2,37,gelu,constant,0.5,150,0.000467797660959943,1.0062246322631836,0.04688409576187166,2,0.9094650205761317,11,null,128,xavier_normal,0.2983708880400886,2.2986608771476066e-05,1.0197768458339649,eom,0.3221241585789872,batchnorm,none
0.01,80,768,3,12,gelu,constant,0.2,100,3.775861088467228e-05,1.6038240194320679,0.2514750435442312,2,0.7983539094650206,11,5,128,xavier_uniform,0.18375569464253474,2.9752585194240644e-08,1.0845423660486404,leaf,0.5310004329959702,batchnorm,cosine
0.03,82,768,3,29,gelu,constant,0.3,100,0.0002007131725447815,0.9760726094245911,0.03831400016853643,2,0.26337448559670784,17,5,128,xavier_uniform,0.05397110442695274,2.4706968833526313e-08,1.087824407203626,leaf,0.24942929156279967,layernorm,cosine
0.07,104,256,2,20,gelu,constant,0.0,80,2.128670427681354e-05,1.8868697881698608,0.06720497700728037,2,0.9259259259259259,4,null,64,xavier_uniform,0.3403178639731036,4.604286773127786e-06,0.8193698611385729,eom,0.4298652124873657,batchnorm,none
0.07,105,256,2,20,gelu,double,0.0,100,0.00022635396231548093,1.1945265531539917,0.026516466523822148,2,0.2962962962962963,4,null,64,kaiming_uniform,0.30110342600354867,3.5643895129005885e-08,1.1886843116474919,eom,0.43573064993957306,batchnorm,none
0.07,113,256,2,20,gelu,double,0.0,150,3.042426791264529e-05,1.5031553506851196,0.00406500164637359,2,0.6213991769547325,3,null,64,kaiming_uniform,0.3518619604803242,5.1275674381741115e-06,1.201304174597593,eom,0.4683338636472727,batchnorm,none
0.07,114,256,2,19,gelu,double,0.0,150,3.087090633844028e-05,1.5723552703857422,0.027640788095777823,2,0.43621399176954734,3,null,64,kaiming_uniform,0.3844591186225233,5.192388330209209e-06,1.228016469373908,eom,0.43812202028756186,batchnorm,none
0.07,115,256,2,20,gelu,double,0.0,150,2.2789279571013212e-05,1.8267605304718018,0.08442392827918999,2,0.23045267489711935,3,null,64,kaiming_uniform,0.37894475636377745,1.9217468462671332e-08,1.2306992808573614,eom,0.4196599598969924,batchnorm,none
0.07,116,256,2,25,gelu,double,0.0,150,2.1595939761119318e-05,2.0957653522491455,0.027136385134051835,3,0.32098765432098764,3,null,64,kaiming_uniform,0.5196078624339477,1.0815756986335664e-05,1.1801244990042472,eom,0.4310938909181275,batchnorm,none
0.07,118,256,2,17,gelu,constant,0.0,150,3.058642335800808e-05,2.2715559005737305,0.01672234262410187,4,0.2962962962962963,3,null,64,kaiming_uniform,0.3772360867795631,2.0208759452488483e-08,1.1764353960067968,eom,0.43691179121999774,batchnorm,none
0.005,117,768,2,24,gelu,halve,0.0,150,0.0003334923129487488,0.645272970199585,0.04679513603711112,2,0.8477366255144033,3,null,64,kaiming_uniform,0.39044772289419927,1.1651092776206172e-05,1.2319306245260264,eom,0.4707603183288706,batchnorm,none
0.07,120,256,2,24,gelu,double,0.0,150,2.272984283730107e-05,1.7800551652908325,0.03188185523180451,2,0.3374485596707819,3,null,64,kaiming_uniform,0.3725106945978434,1.6878276917855703e-06,1.2186057450109453,eom,0.4361557097247193,batchnorm,none
0.07,123,256,2,17,gelu,double,0.0,150,2.420305373268152e-05,1.660879373550415,0.05703944597502301,2,0.6872427983539094,3,null,64,kaiming_uniform,0.37513610596050845,1.5431608363146357e-05,1.2844927649870197,eom,0.4623852469789743,batchnorm,none
0.07,124,256,2,24,gelu,double,0.0,150,2.9152041153860394e-05,1.649400234222412,0.026702483538224714,2,0.3868312757201646,3,null,64,kaiming_uniform,0.4372035552927004,1.1233519570560242e-05,1.2729270172711817,eom,0.467111363006001,batchnorm,none
0.07,125,256,2,17,gelu,double,0.0,150,3.0051438539050875e-05,1.5347747802734375,0.02573145984633538,2,0.35802469135802467,3,null,64,kaiming_uniform,0.37677441622794283,1.1213464893271233e-05,1.285691739776697,eom,0.46754844996723843,batchnorm,none
0.07,126,256,2,24,gelu,double,0.0,150,3.0308154730300714e-05,1.6771082878112793,0.01814584796335491,2,0.49794238683127573,3,null,64,kaiming_uniform,0.3827890754577936,1.0797242171418025e-05,1.289124941123532,eom,0.46858831845306,batchnorm,none
0.07,127,256,2,23,gelu,double,0.0,150,2.3508902171098158e-05,1.8877325057983398,0.010347184215815831,2,0.9012345679012346,3,null,64,kaiming_uniform,0.4411011785140211,1.889614724563418e-05,1.240507078042398,eom,0.46723607689611946,batchnorm,none
0.07,128,256,2,25,gelu,double,0.0,150,2.393271558761265e-05,1.7756145000457764,0.009517168742397048,3,0.9465020576131687,3,null,64,kaiming_uniform,0.38497250173407477,1.7013312622360194e-05,1.2833820472355597,eom,0.4394700481680621,batchnorm,none
0.07,129,256,2,21,gelu,double,0.0,150,2.4148315172474107e-05,1.710853934288025,0.05938776870760763,2,0.23045267489711935,3,null,64,kaiming_uniform,0.4248063282322136,6.374374957356734e-06,1.2907323370408803,eom,0.43316633930555537,batchnorm,none
0.07,130,256,2,21,gelu,double,0.0,150,2.4303364436774423e-05,1.6317483186721802,0.030021175008177838,3,0.27983539094650206,3,null,64,kaiming_uniform,0.4097687954938549,5.741766593882484e-06,1.2807802898809608,eom,0.43843626733600766,batchnorm,none
0.07,132,256,2,21,gelu,double,0.0,150,2.5026681988220475e-05,1.8402105569839478,0.024952138093787775,2,0.40329218106995884,3,null,64,kaiming_uniform,0.4294513782860614,1.677240701791187e-05,1.2963891606479527,eom,0.4394718611678559,batchnorm,none
0.07,133,256,2,21,gelu,double,0.0,150,2.0220229336226817e-05,2.217958688735962,0.04032326956558842,2,0.32510288065843623,3,null,64,kaiming_uniform,0.43640148300250453,6.165275365348883e-06,1.2850953433171524,eom,0.43877733076900255,batchnorm,none
0.07,134,256,2,26,gelu,double,0.0,150,2.553376216354164e-05,1.8452006578445435,0.08928704559559535,2,0.21810699588477367,3,null,64,kaiming_uniform,0.4340392607731483,1.8766250010481027e-05,1.2898002460716198,eom,0.5127829118997967,batchnorm,none
0.07,135,256,2,26,gelu,double,0.0,150,3.284304239473973e-05,1.6386804580688477,0.019764893450498908,2,0.34156378600823045,3,null,64,kaiming_uniform,0.42949024096375166,2.0227451627579597e-05,1.3740632220597133,eom,0.43931853190764686,batchnorm,none
0.07,136,256,2,26,gelu,double,0.0,150,3.174522344463001e-05,1.627774953842163,0.028166696032786504,2,0.7942386831275721,3,null,64,kaiming_uniform,0.4326392088101262,1.882972037001599e-05,1.3802458979921017,eom,0.4414331253687265,batchnorm,none
0.07,137,256,2,26,gelu,double,0.0,150,3.3198758488504375e-05,1.8038387298583984,0.046854713979506114,2,0.2674897119341564,3,null,64,kaiming_uniform,0.3976276904127513,2.1712235610213277e-05,1.3633739376348888,eom,0.44548110819515724,batchnorm,none
0.07,138,256,2,26,gelu,double,0.0,150,3.377890440947558e-05,1.5874347686767578,0.024114683647096652,2,0.5761316872427984,3,null,64,kaiming_uniform,0.40188372854042614,9.135524972694991e-06,1.2442660837275417,eom,0.4464609908067261,batchnorm,none
0.07,148,256,2,23,gelu,double,0.0,150,2.8093058730593976e-05,1.6997020244598389,0.007117422777744262,4,0.9176954732510288,4,null,64,kaiming_uniform,0.5033720125917124,8.417902045375606e-06,1.4826563303539553,eom,0.41829784630712613,batchnorm,none
0.07,155,256,2,18,gelu,double,0.0,150,4.3755009200510834e-05,1.4289827346801758,0.04145372003386188,4,0.8847736625514403,3,null,64,kaiming_uniform,0.5022271803772544,4.760176197465289e-05,1.3372624793005528,eom,0.4184589325182666,batchnorm,none
0.07,160,256,2,17,gelu,double,0.0,150,1.909935634072307e-05,1.9439868927001953,0.052745926251787964,3,0.30864197530864196,3,null,64,kaiming_uniform,0.4460572647443306,1.5448265533572247e-05,1.262646452206036,eom,0.4253096409495514,batchnorm,none
0.07,159,256,2,17,gelu,double,0.0,150,1.8031984406011348e-05,2.270637035369873,0.052665199609608325,2,0.2551440329218107,3,null,64,kaiming_uniform,0.44853111838631665,2.914753103777514e-06,1.2591621389345375,eom,0.49676665094361505,batchnorm,none
0.07,161,256,2,18,gelu,double,0.0,150,1.9472948979537112e-05,1.8034048080444336,0.053915132205631114,2,0.7489711934156379,3,null,64,kaiming_uniform,0.5259930175018487,1.363132477258719e-05,1.2546284391176237,eom,0.4806228190719972,batchnorm,none
0.07,162,256,2,18,gelu,double,0.0,150,1.8179193159949204e-05,1.9960999488830566,0.03559928535182681,3,0.2757201646090535,3,null,64,kaiming_uniform,0.5274611536360241,1.1978291779108393e-05,1.2606265580463052,eom,0.47347773775853674,batchnorm,none
0.07,163,256,2,19,gelu,double,0.0,150,2.0028048237097634e-05,1.894871473312378,0.07173248316915747,2,0.3004115226337449,3,null,64,kaiming_uniform,0.5214744498794995,1.1344495687735372e-05,1.2658824078342819,eom,0.47026044290924074,batchnorm,none
0.07,164,256,2,16,gelu,double,0.0,150,1.752598511964123e-05,2.532109022140503,0.07401885056125257,2,0.2716049382716049,3,null,64,kaiming_uniform,0.5324144468226328,1.1937322008172391e-05,1.192991060921568,eom,0.47434904426791363,batchnorm,none
0.07,165,256,2,20,gelu,double,0.0,150,1.8917636811674768e-05,2.1492786407470703,0.06565750210458982,2,0.205761316872428,3,null,64,kaiming_uniform,0.5278287628000975,1.1766302824063972e-05,1.14312925368725,eom,0.47120617706709,batchnorm,none
0.07,166,256,2,20,gelu,double,0.0,150,2.0852241416425323e-05,1.984485387802124,0.044702124170538156,3,0.27983539094650206,3,null,64,kaiming_uniform,0.32528105045191,4.0087924693575675e-06,1.139684694695831,eom,0.4718451519103128,batchnorm,none
0.07,167,256,2,20,gelu,double,0.0,150,2.0896679488208908e-05,1.956045389175415,0.09045823303914907,2,0.20164609053497942,3,null,64,kaiming_uniform,0.32915314663574285,4.1686939093536e-06,1.1778520316913672,eom,0.4716648404363676,batchnorm,none
0.07,168,256,2,25,gelu,double,0.0,150,2.085025009517011e-05,1.8136305809020996,0.10887458612902325,2,0.16049382716049382,3,null,64,kaiming_uniform,0.32402993389236917,1.1036219597818417e-05,1.1903550165090069,eom,0.47118897785012964,batchnorm,none
0.07,169,256,2,20,gelu,double,0.0,150,2.4358679590926258e-05,1.7333451509475708,0.0749106312335187,2,0.18106995884773663,3,null,64,kaiming_uniform,0.3244605232918066,6.9355399531605885e-06,1.1711339121435937,eom,0.4675872453044696,batchnorm,none
