cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.03,11,512,4,38,relu,double,0.0,150,4.4640395068748955e-05,0.6672508716583252,0.3089450226395418,2,0.4775641025641026,9,5,64,xavier_normal,0.05860540024473381,0.0002417935008048057,1.653564461496027,eom,0.6167818533827589,batchnorm,none
0.1,20,256,3,16,leaky_relu,halve,0.1,100,0.00033443170119432976,1.216192364692688,0.31194408359815146,2,0.7756410256410257,11,20,128,xavier_uniform,0.014589307589703837,5.228332554964266e-07,1.62473243243871,leaf,0.6681317979335177,layernorm,cosine
0.03,24,512,3,13,relu,halve,0.0,100,0.00023416420349154876,0.7649686336517334,0.4259056803718074,2,0.3643162393162393,13,null,128,xavier_uniform,0.023248887780559228,1.0408921327442644e-08,1.2998333047584019,eom,0.6511296815870816,batchnorm,none
0.01,21,512,3,16,gelu,double,0.2,100,0.00022437103976599132,0.6169886589050293,0.4692109923292403,2,0.9348290598290598,7,20,128,xavier_uniform,0.02273469813194967,4.2731422145998674e-07,0.9653636096456255,leaf,0.6565858843491857,layernorm,cosine
0.01,34,512,3,16,relu,double,0.2,100,0.000588836426280401,0.5307737588882446,0.31235004692415913,3,0.8579059829059829,7,20,128,xavier_uniform,0.023125340652631547,5.252867175090765e-07,0.9551682447871691,eom,0.6885068367436465,layernorm,none
0.03,22,512,4,49,relu,double,0.0,150,2.9042322832053988e-05,0.606291651725769,0.1116940006428881,8,0.6143162393162394,11,5,64,xavier_uniform,0.012830547420077082,6.414507050614926e-05,0.9262926287964546,eom,0.6625333064268336,batchnorm,none
0.01,35,512,3,17,gelu,double,0.2,100,0.0005077797667130369,0.5132454633712769,0.06116902613805392,4,0.9188034188034188,7,20,128,xavier_uniform,0.020317934227009803,6.522068471758243e-07,1.0049150309191042,leaf,0.6928242984421464,layernorm,none
0.01,36,512,3,16,gelu,double,0.2,100,0.0005572638326566225,0.5548577308654785,0.0707820409361477,3,0.9177350427350427,8,20,128,xavier_uniform,0.024020652162951663,5.162383898688969e-07,0.9638978726143717,leaf,0.6931723925575212,layernorm,cosine
0.01,37,512,2,20,relu,double,0.2,100,0.0005656275085930264,0.5486316680908203,0.14091625577398442,2,0.8621794871794872,10,10,128,xavier_uniform,0.051668413940131254,5.428441559793852e-07,0.6342043302637224,eom,0.6957397964330402,layernorm,none
0.1,39,512,4,52,gelu,double,0.2,150,2.7616015455589924e-05,1.2576848268508911,0.17299938670322026,3,0.8888888888888888,10,5,64,kaiming_uniform,0.08992340854964101,0.0003355421224929634,0.7589137949907159,leaf,0.7420165093604612,layernorm,none
0.01,38,512,4,52,relu,double,0.2,150,2.1789918761550073e-05,0.7021529078483582,0.23311190850434216,3,0.9113247863247863,7,5,64,xavier_uniform,0.09361777542309672,0.0007987201640918481,0.7285847812271087,eom,0.7392465047347074,layernorm,none
